# T3 FLAVOR TAGS — 183 products
# Format: SKU|name|classification|country|region|grape|style

LVK0164BU|Absolut  Elyx (750 ml)|Vodka|Sweden|||Plain Vodka
LVK0179AE|Russian Standard  Vodka (700 ml)|Vodka|Russia|||Plain Vodka
LVK0208AH|Svedka  Cherry Vodka (750 ml)|Vodka|Sweden|||Flavored Vodka
LVK0210AA|Stolichnaya  Cucumber (700 ml)|Vodka|Russia|||Flavored Vodka
LVK0637CN|Skyy  Vodka (1 L)|Vodka|USA|||Plain Vodka
LVK0650AE|Short Story  Grain Vodka (750 ml)|Vodka|India|||Plain Vodka
LVK0653ER|Publik Vodka Raw (700 ml)|Vodka|Belgium|||Plain Vodka
LWH0412BU|Johnnie Walker  Aged 18 Years (750 ml)|Whisky|Scotland|Highland||Blended Scotch Whisky
LWH0452BU|Chivas Regal  XV (700 ml)|Whisky|Scotland|Champagne||Blended Scotch Whisky
LWH0985CN|Kyoto Whisky  Murasaki-Obi (700 ml) (Premium Gift Set) (Limited Stock)|Whisky|Japan|||Japanese Whisky
LWH1031BU|Chivas Regal  13 Years Tequila Cask Selection Blended Whisky (700 ml)|Whisky|Scotland|Champagne||Blended Scotch Whisky
LWH1087AB|Matsui  The Daisen Wine Cask Blended Whisky (700 ml)|Whisky|Japan|||Blended Whisky
LWH1107ER|Moonshine Runners  Irish Whiskey (700 ml)|Whisky|Ireland|Highland||Irish Whiskey
LWH1116AE|Arran  Lochranza Reserve Malt (700 ml)|Whisky|Scotland|Islands||Blended Scotch Whisky
LWH1163EQ|Douglas Laing's Provenance Teaninich 8 Years (700 ml)|Whisky|Scotland|Highland||Blended Scotch Whisky
LWH1166EQ|Douglas Laing's Provenance Glenrothes 9 Years (700 ml)|Whisky|Scotland|Speyside||Blended Scotch Whisky
WDW0018AA|Cantine Pellegrino  Zibibbo Vino Liquoroso IGT|Dessert Wine|Italy|Sicily|Muscat|Muscat
WDW0517AA|Cantine Pellegrino  Zibibbo Vino Liquoroso IGT (500 ml)|White Wine|Italy|Sicily|Muscat|Medium-bodied White
WRS0148AB|Rockford  Alicante Bouchet|Rose Wine|Australia|Barossa|Alicante Bouschet, Grenache|Alicante Bouschet
