sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,bottle_size,price,validation_status,enrichment_priority
ABA0656AB,ABA0656,Coravin   Timeless Six + Piano Black,Accessories,,,USA,,,,,Coravin,,,,,"[""mineral""]",,0.892,"<div>
<div>Pour your favorite wines without pulling the cork with the Coravin Timeless Six Preservation System. The Six System brings a new level of elegance to our Timeless Wine Preservation Systems, allowing you to preserve still wines for weeks, months, or even years. Choose from a variety of elegant color options in a high-gloss finish, metallic accents, and premium accessories.</div>
<div> </div>
</div>
<div> </div>
<div>Celebrate the holidays with the limited edition Gemstone Collection in Anthracite, Deep Emerald and Dark Amethyst, all with striking gold accents.</div>
<div> </div>
<div>The Keith Haring x Coravin Artist Edition features the artist’s signature design style on our popular wine by the glass system.</div>",,20720,validated,1
CIG0375BT,CIG0375,Romeo Y Julieta  Mini (20 Sticks per Box),Cigar,,,Cuba,,,,,Romeo Y Julieta,,,,,,,0.892,"This Cigar will help get you through many an awkward situation. A real pleasure to relax with one of these. Romeo y Julieta Mini for a very reasonable price, guaranteeing hours of pleasure.",,2000,validated,1
GDC0048AB,GDC0048,Riedel  Decanter Ultra Magnum,Glassware,,,Austria,,,,,Riedel,,,,,,,0.892,"<p>The design of the Ultra Magnum is a nod to tradition with its swooping curves and wide base. The size of this decanter makes it perfect for young wines, as it offers a large surface area for the wine to be exposed to oxygen after decanting.</p>
<p>This decanter is designed for a magnum bottle of wine.</p>
<p>This pack contains a single piece.<br />This product is handmade. Please handwash only.<br />RIEDEL recommends: Use bottle cleaners to remove stains from the decanter.</p>",,12000,validated,1
GLQ0023BR,GLQ0023,Glencairn  Official Whisky Glass (Set of 6),Glassware,,,,,,,,Glencairn,,,,,,,0.88,"<p>The Glencairn Whisky Glass is a revolutionary whisky glass that really lets one savor the taste and complexity of fine whisky. These are great to use for any of your Single Malt Whisky's, Irish Whiskey's, and also your single barrel bourbons. With the tapered mouth, you are able to really smell all of the nuances the whisky has to offer. Any malt advocate will love this glass!</p>",,3800,validated,1
GWN0161AB,GWN0161,Riedel  Sommeliers Black Series ( R ) : Bordeaux Grand Cru,Glassware,,,Austria,Bordeaux,,,,Riedel,,,,,,,0.892,"Recommended for: Bordeaux (red), Cabernet Franc, Cabernet Sauvignon, Fronsac, Graves rouge, Listrac, Margaux, Médoc, Merlot, Moulis, Pauillac, Pessac Leognan (Rouge), Pomerol, St. Emilion, St. Estèphe, St. Julien",,7500,validated,1
GWN0406AB,GWN0406,Riedel  Veloce Cabernet/Merlot (Pack 2 piece),Glassware,,,Austria,,,,,Riedel,,full,,low,,,0.892,"<p>The Cabernet glass is perfect for full-bodied, complex red wines that are high in tannin.</p>
<p>This glass shape has been redeveloped as part of this collection. Its diamond shape works beautifully for big and bold New World wines as the extreme angles offer more space to develop aromas. The generous size of this glass emphasises fruit, smooths out the rough edges and bitter qualities of the tannin, and allows wines to achieve balance.</p>",,3250,validated,1
LAB0011AH,LAB0011,Grande Absinthe  (700 ml),Liqueur,,Herbal Liqueur,France,Provence,,,NV,Grande Absinthe,,,,,"[""herbal""]","Desserts, Coffee, Cocktails",0.892,"<p>A vividly green Absinthe, Grand Absente Original is made to a pre-ban recipe at Distilleries et Domaines in Provence. This uses artisanal distillation techniques and local botanicals.</p>",700 ml,2799,validated,1
LBD0007CN,LBD0007,St-Rémy  V.S.O.P (700 ml),Brandy,,,France,,,,NV,St-Rémy,,,,,,"Chocolate, Dried Fruits, Cheese, After Dinner",0.892,"ST-Remy V.S.O.P. is the flagship product. The international leader of French brandy category with the highest sales in the world. It is a symbol of the highest possible quality among the French brandies Gold Medal, SFWSC 2005",700 ml,949,validated,1
LBD0011CN,LBD0011,Remy Martin  V.S.O.P (700 ml),Brandy,,,France,Champagne,,,NV,Remy Martin,,full,,low,,Pork,0.904,"<p>The world's favorite V.S.O.P. The Market Leader and the reference for its pedigree and smooth taste. The ultimate versatility of the Fine Champagne which will lift your drink to new heights. The perfect harmony of mature and powerful aromas.</p>
<p><strong>Awards :</strong></p>
<ul>
<li><strong>Gold Medal : The Cognac Masters (The Spirits Business) - 2010</strong></li>
</ul>",700 ml,2849,validated,1
LBD0025BU,LBD0025,Martell  V.S (700 ml),Brandy,,,France,Cognac,,,NV,Martell,,,medium,low,"[""fruit"",""spice"",""oak"",""floral""]","Chocolate, Dried Fruits, Cheese, After Dinner",0.892,"A fresh, harmonious cognac of vigorous character. Martell VS is seen as a bright young cognac. Its fresh, fruity side makes it an ideal base when preparing cocktails.",,1875,validated,1
LBD0042AF,LBD0042,Calvados Pere Magloire  Fine V.S. (700 ml),Brandy,,,France,Loire,,,NV,Calvados Pere Magloire,,light,medium,,"[""fruit"",""oak""]","Chocolate, Dried Fruits, Cheese, After Dinner",0.904,This concentrates the apple flavour which is further accentuated by blending the fruitiest vintages and ageing them in century-old oak barrels.,,1580,validated,1
LBD0063AE,LBD0063,Massenez  Poire Prisonniere ( Prisoner Pear ) (700 ml),Brandy,,,France,Alsace,,,NV,Massenez,,,low,,"[""fruit"",""spice"",""floral""]",Poultry|Spicy Food,0.904,"Flagship of the MASSENEZ Brand, Prisonere Pear captivates with its olfactory and gustative qualities and the pear-shaped bottle with a whole pear inside. The bottle is simply attached to the pear tree in flower...so the fruit develops inside the bottle.When it ripens,the fruit and the bottle are carefully detached",700 ml,2589,validated,1
LBD0107EQ,LBD0107,Camus  Cognac VSOP Borderies (700 ml),Brandy,,Cognac VSOP,France,Cognac,,,NV,Camus,,,medium,low,"[""fruit"",""spice"",""earth"",""oak"",""floral"",""mineral""]",Dessert,0.892,"CAMUS Borderies VSOP presents a lively, mineral and floral character. The wine used for this Cognac came mostly from the Domaines CAMUS estates, and was exclusively distilled on the lees. The long ageing process in seasoned casks has sublimated the mineral character of this CAMUS Borderies VSOP into a harmonious, smooth and coherent array of aromas.",,3595,validated,1
LBD0113BU,LBD0113,Hennessy  V.S (With Box) (700 ml),Brandy,,,France,Cognac,,,NV,Hennessy,,full,low,,"[""oak""]",Red Meat,0.892,"<p>Hennessy Very Special (V.S) is one of the most popular cognacs in the world. Matured in new oak barrels, Hennessy V.S is bold and fragrant. Its beguiling character is uniquely Hennessy, a timeless choice with an intensity all its own. Hennessy V.S offers toasted and fruit notes, with a rich, clearly defined palate and a welcoming exuberance.</p>
<p>Hennessy V.S expresses its vibrant and dynamic personality through unique artist partnerships and annual limited editions. Easy to enjoy, it&rsquo;s a perfect cognac for high-energy occasions and sharing the moment.</p>
<p>The round and robust flavours of Hennessy V.S make it very versatile and ideal for any cocktail possibility, from classic recipes and sophisticated cocktail creations to easy mixed drinks.</p>",,1919,validated,1
LBD0166AA,LBD0166,Vecchia Romagna  Riserva Tre Botti Brandy (700 ml),Brandy,,,Italy,,,,NV,Vecchia Romagna,,light,,,"[""fruit"",""spice"",""oak"",""floral""]",Dessert,0.892,"<p>From Vecchia Romagna comes Riserva Tre Botti, a blend of brandies aged in three different cask types. There's French oak barriques, Slavonian oak casks and barrels which previously held Italian red wine. It's all bottled up at 40.8% ABV, and like their other brandies is packaged in a triangular-shaped bottle. The blend is crafted from a variety of ages, including brandies aged up to 15 years. “Double Gold” medal winner at San Francisco Spirits World Competition 2021.</p>",,2189,validated,1
LBD0224BU,LBD0224,Hennessy X.O  Chinese New Year 2025 Limited Edition (700 ml),Brandy,,,France,Cognac,,,2025,Hennessy,,,,low,"[""spice"",""oak""]",Red Meat|Dessert,0.892,"<p>Celebrate the Year of the Snake in 2025 with the exquisite Hennessy XO Chinese New Year Limited Edition, a refined 700ml cognac that embodies luxury and tradition. This special release pays homage to the rich heritage of Chinese culture while showcasing the unparalleled craftsmanship that Hennessy is renowned for.</p>",700 ml,10999,validated,1
LBE0658CH,LBE0658,Moose  Original Cider  330ml x 24,Beer,,,Thailand,,,,NV,Moose,,,medium,low,"[""fruit""]",Dessert,0.892,"Moose is Thailand’s first domestically brewed high-quality and authentic alcoholic cider. Taste created by specially selecting the best apples and slowly letting them develop into the perfect balance of fruity sweetness and crisp refreshment.Taste that’s not too heavy and not too light, that gives a great depth of flavour and a clean, smooth finish.",330 ml,1649,validated,1
LCC0014BU,LCC0014,Canario  Cachaca Superior (1 L),Rum,,,Brazil,,,,NV,Canario,,,medium,,"[""fruit""]","Tropical Fruit, BBQ, Spiced Desserts, Chocolate",0.892,"<p>Certainly the most well-known and most popular drink made with Canario Cachaça is Caipirinha, an exciting mix of Cachaça, crushed ice and lime, plus white cane sugar. You can also use Canarío Cachaça to mix a typical Brazilian Batidas. Depending on the flavour, this is made by mixing fresh tropical juices or fruits, or these fruits are puréed and mixed with plenty of ice - and of course Canarío Cachaça.</p>",1000 ml (1 L),1199,validated,1
LGN0003AD,LGN0003,McCormick  Gin Extra Dry (750 ml),Gin,,Dry Gin,USA,,,,NV,McCormick,,,,,,"Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"Recently noted in impact magazine as the 10th best selling gin in american. available at 42, 80, 90 proof. mccormick is one of america's most respected spirit companies and owner of one of its oldest distilleries, operating since 1865 in weston missouri. it's dedication to the art of distilling comes across in the best tasting spirits at friendly pricing.",,550,validated,1
LGN0006AA,LGN0006,Hendrick's Gin (700 ml),Gin,,Dry Gin,England,,,,NV,Hendrick,,,medium,,"[""fruit"",""floral""]",Pork,0.892,"A superb, and utterly unique, pink-tinged gin from William Grant's distillery in Scotland. Handcrafted gin with traditional botanicals, juniper, coriander, and citrus peel but the special infusion of cucumber and rose petals creates a unique and unexpected flavour.",,2099,validated,1
LGN0015BU,LGN0015,Gordon's  Dry Gin (700 ml),Gin,,Dry Gin,England,,,,NV,Gordon's,,,medium,,"Botanicals, Juniper","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,Gordon’s London Dry Gin is carefully distilled using a secret recipe. The distinctively refreshing taste comes from the finest handpicked juniper berries and a selection of other botanicals. It’s the taste that’s made Gordon’s the world’s best-selling London Dry gin.,,869,validated,1
LGN0016BU,LGN0016,Tanqueray  Gin (750 ml),Gin,,Dry Gin,England,,,,NV,Tanqueray,,,high,,"[""fruit"",""spice"",""oak"",""floral""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>The vibrant juniper and licorice flavor and a pretty, slightly floral, rosewater finish is braced up with a peppery spine. Give this gin some time to open up for optimal aromatics—the reward is a citrusy zing. Good value.</p>",,1189,validated,1
LGN0017BU,LGN0017,Gilbey's  Gin (700 ml),Gin,,Dry Gin,England,,,,NV,Gilbey's,,,,,"Botanicals, Grain","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"The recipe dates to the 1870s, when the Gilbey brothers, two veterans of the Crimean war, whose successful wine/spirits merchant business had thrived throughout the second half of the 19th century, expanded their business to include the eponymous gin (called Gilbey’s since 1895). Distilled from grain neutral spirits, it purportedly contains 12 botanicals. It was so popular that the rights to distill it were sold to the US in the 1930s and it has been distilled domestically since then.",,395,validated,1
LGN0026BU,LGN0026,Monkey 47  Dry Gin (500 ml),Gin,,Dry Gin,Germany,,,,NV,Monkey 47,,,,,,"Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,<p>Monkey 47 won the World Spirits Award Gold in the Gin category and Gold for best in class for the Gin Worldwide at the International Wine and Spirits Competition London.</p>,500 ml,2299,validated,1
LGN0044CN,LGN0044,The Botanist  Islay Dry Gin (700 ml),Gin,,Dry Gin,Scotland,Islay,,,NV,The Botanist,,light,medium,,"[""fruit"",""spice"",""herbal"",""oak"",""floral""]",Dessert,0.892,"<p>The botanist is a gin of layered complexity. A progressive exploration of the botanical heritage of our isle of islay. Nine classic gin botanicals are augmented by 22 local herbs and flowers, foraged responsibly and by hand from the hills, shores and bogs of this fertile hebridean island by our own team of botanical scientists. The result is a gin as much for the mind as the palate; a thinking person’s gin. a roller coaster botanical odyssey in a glass.</p>
<p><strong>Awards :</strong></p>
<p>Silver - Gin - 2019 : San Francisco World Spirits Competition</p>",700 ml,2599,validated,1
LGN0061CM,LGN0061,Iron Balls Gin (700 ml),Gin,,Dry Gin,Thailand,,,,NV,Iron Balls,,,medium,,"[""spice"",""herbal""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.832,A great refreshing Gin served on ice with a touch of tonic and a garnish of ginger and lime.,,1800,validated,1
LGN0063CN,LGN0063,Bulldog  London Dry Gin (750 ml),Gin,,London Dry Gin,England,,,,NV,Bulldog,,,,,"[""fruit"",""floral""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>A delicious English gin made with poppy, dragon eye, lotus leaves, citrus, almond, lavender and various other botanicals (12 in total). This is four times distilled in copper pot stills, and Bulldog had the highest rating ever received by a gin from Wine Enthusiast Magazine. It was also voted a Top 50 spirit!</p>
<p><strong>Awards :</strong></p>
<p>Silver - Gin - London Dry - 2014 : International Wine & Spirit Competition</p>",750 ml,769,validated,1
LGN0069DG,LGN0069,Citadelle  Original Gin (700 ml),Gin,,Dry Gin,France,,,,NV,Citadelle,,light,low,,"[""spice"",""herbal"",""floral""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>Citadelle Gin has a delicate and fragrant nose of fresh flowers, jasmine, honeysuckle and cinnamon. After a few moments, stronger, more herbaceous aromas of anise, grains of paradise and cinnamon develop in a most remarkable way. The appetizing bouquet is reminiscent of gardens in springtime. On the palate, juniper gives way to a voluptuous complexity redolent of fresh flowers, leading into an elegant, round and highly refined finish.</p>
<p>The 19 botanicals are infused for 72 hours, three days in which the Citadelle body is shaped and takes all its aromatic notes. For 12 hours, Citadelle is distilled in a copper pot still with a naked flame.</p>
<p><strong>Awards :</strong></p>
<p>Silver - Classic Gin - 2020 : World Gin Awards</p>
<p>Best Brand Design - 2019 : World Gin Awards</p>",700 ml,2049,validated,1
LGN0077DR,LGN0077,Bombay Sapphire Gin (750 ml),Gin,,Dry Gin,England,,,,NV,Bombay Sapphire,,,,,"[""herbal"",""floral""]",Pork,0.892,"<p>Bombay Sapphire Gin is one of the more popular premium gins on the market for a very good reason. This London Dry gin is one of those that is distinctly gin but not overwhelming on any of the botanicals, which makes it ideal for mixing into any gin cocktail. Beyond the mixable, aromatic flavor, Bombay Sapphire is also reasonably priced and readily available so it can (and should) become a reliable staple in any bar. This is also an ideal gin to introduce people to gin because it is not overpowering but very appealing to any taste</p>",750 ml,1199,validated,1
LGN0078CN,LGN0078,Bols  Genever (700 ml),Gin,,Genever,Netherland,,,,NV,Bols,,full,,,"Botanicals, Grain, Malt","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>Bols Genever is an award-winning classic cocktail spirit that combines the mixability of a white spirit and the complexity of a brown spirit, resulting in a flavour that is like nothing else out there. Rediscovered, it is renowned for its mixing qualities and for sipping; the original Dutch ritual of drinking Genever neat in the traditional tulip glass.</p>",700 ml,2699,validated,1
LGN0081BU,LGN0081,Beefeater  London Dry Gin (750 ml),Gin,,London Dry Gin,England,,,,NV,Beefeater,,,,,"[""fruit""]",Red Meat,0.892,"From James Burrough's original recipe, Desmond Payne - the world's most experienced master distiller - oversees a bold and distinct gin that sets the standard for London Dry Gins. Since 1863 it has stood the test of time and now claims the title of the world’s most awarded gin.A product of our bold, creative city, Beefeater is proud to still be made in the heart of London. With big juniper character and strong citrus notes, this is a real London Dry for those that enjoy the real taste of gin",,935,validated,1
LGN0083BU,LGN0083,Gin Mare  Mediterranean Gin (700 ml),Gin,,Dry Gin,Spain,,,,NV,Gin Mare,,light,high,,"[""fruit"",""spice"",""herbal"",""floral""]",Seafood,0.892,"<p>The finest botanicals are selected from across the Mediterranean, coming together to create a carefully hand-crafted gin that stands out as being savory and unique. Herbaceous on the nose, with thyme and juniper dominating, but also a presence of olives, and a wonderful explosion of rosemary, basil & coriander when tasted.</p>
<p><strong>Awards :</strong></p>
<p>Gold - Super Premium - 2016 : The Gin Masters (The Spirits Business)</p>
<p> </p>
<p> </p>
<p> </p>",700 ml,2299,validated,1
LGN0092CP,LGN0092,Whitley Neill  Rhubarb & Ginger Gin (700 ml),Gin,,Dry Gin,England,,,,NV,Whitley Neill,,,high,low,"[""spice"",""herbal""]",Dessert,0.892,"A handcrafted gin of exceptional quality inspired by the glory of the English Country Garden. The essence of Rhubarb adds a tart crisp edge, to the smooth English gin base, whilst the real ginger extract warms the palette for a full bodied complex finish. Handcrafted dry gin, Inspired by England.",,999,validated,1
LGN0106AA,LGN0106,Suntory  Roku Japanese Craft Gin (700 ml),Gin,,Dry Gin,Japan,Japan,,,NV,Suntory,,light,,,"[""fruit"",""spice"",""herbal"",""floral""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p style=""text-align: left;""><strong>Japanese craftsmanship brings out the rich flavors of ROKU</strong></p>
<p>ROKU is produced in the ""Liquor Atelier"", the specialized craft distillery for Suntory spirits and liquor.</p>
<p>For instance, the delicate scent of cherry blossom is isotonicals to extract the most flavor and maintain their individual flavor and maintain their individual flavor and maintain their individual flavor and is their process unique to ROKU, the botanicals are distorted separately according to drawn out through vacuum distillation in stainless pot stills, whereas the deep flavor of yuzu is achieved by distillation in copper pot stills.</p>
<p>ROKU's complex, yet harmonious flavor is the result of the unique Japanese sensitivity captured in the blending of the carefully crafted extracts of the 14 botanicals.</p>
<p><strong>Awards :</strong></p>
<p>Silver Medal : San Francisco World Spirits Competition 2019</p>",700 ml,1419,validated,1
LGN0118EQ,LGN0118,Harahorn  Norwegian Small Batch Gin (750 ml),Gin,,Dry Gin,Norway,,,,NV,Harahorn,,,,,,"Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>While the Harahorn Norwegian Gin is named after a mountain in Norway, it's also inspired by the story of a hare with horns. A more terrifying prospect has never crossed our minds. Despite striking fear into our hearts, this gin is rather pleasing indeed, making use of Røros juniper berries, Nordmarka blueberries, Grimstad rhubarb and bladderwrack, Oppdal angelica and Sunndal wild marjoram.</p>
<p><strong>Awards :</strong></p>
<p>Gold - Gin - 2019 : San Francisco World Spirits Competition</p>",,2545,validated,1
LGN0147BU,LGN0147,Malfy  Gin Rosa (700 ml),Gin,,Dry Gin,Italy,Sicily,,,NV,The Malfy Gin Rosa,,,medium,,"[""fruit""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.904,"The Malfy Gin Rosa is a bright and refreshing flavoured gin. It has a zesty and citrusy taste of pink grapefruit, with a rich, long juniper finish.",,1635,validated,1
LGN0148BU,LGN0148,Malfy  Con Arancia (700 ml),Gin,,Dry Gin,Italy,Sicily,,,NV,Malfy,,,,,"Botanicals, Juniper, Orange","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.904,<p>Malfy Con Arancia&rsquo;s key botanical additions are Blood Orange peels sourced from Sicily.Blood Oranges are a prized variety in Sicily &ndash; and harvested in November &ndash; their rich red color develops from the cool Mediterranean nights.</p>,,1635,validated,1
LGN0153DB,LGN0153,Sakurao  Japanese Dry Gin (700 ml),Gin,,Dry Gin,Japan,,,,NV,Sakurao,,,medium,,"[""fruit"",""floral""]",Seafood,0.892,"<p>A craft gin that utilizes 9 kinds of botanicals, including fresh citrus from Hiroshima, and is distilled using a combination of steeping and vapor methods.</p>
<p>Besides 9 kinds of botanicals from Hiroshima, 5 kinds of imported botanicals such as juniper berry and coriander seed are also used for SAKURAO GIN ORIGINAL.</p>
<p>The fusion of a citrus-like aroma with the traditional taste of gin is the most distinctive feature of our original gin.</p>",700 ml,1600,validated,1
LGN0176BU,LGN0176,Tanqueray  No. TEN Distilled Gin (700 ml),Gin,,Dry Gin,England,,,,NV,Tanqueray,,,medium,,"[""fruit""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p><strong>""Tanqueray No. TEN is the only gin to be inducted to the San Francisco World Spirits Competition Hall Of Fame""</strong></p>
<p>Passion and attention to detail in perfect measure, is a recipe for exquiste results.</p>
<p>Tanqueray No. TEN, named after the stills of its origin, is small batch gin crafted using fresh citrus fruits. An exquisite citrus burst in every sip, best enjoyed with premium tonic water and a slice of pink grapefruit.</p>
<p><strong>Awards :</strong></p>
<p>Double Gold - Gin - 2020 : San Francisco World Spirits Competition</p>",,2099,validated,1
LGN0194BU,LGN0194,Tanqueray  Flor de Sevilla (700 ml),Gin,,Dry Gin,England,,,,NV,Tanqueray,,,,,"[""oak"",""floral""]",Dessert,0.892,"<p>Tanqueray Flor de Sevilla is a unique distilled gin made with Sevilla orange essences and other fine botanicals. Inspired by Charles Tanqueray’s original recipes and the ripening oranges growing on the trees in sun-drenched SEVILLE, the result is a perfect balance of the uniquely bittersweet taste of Seville oranges balanced with the complexity of Tanqueray London Dry Gin. Best served with Premium tonic and a squeeze wedge of orange.</p>",,1299,validated,1
LGN0199CN,LGN0199,Drumshanbo Gunpowder  Irish Gin (700 ml),Gin,,Dry Gin,Ireland,,,,NV,Drumshanbo,,light,medium,,"[""fruit"",""spice"",""herbal"",""floral""]",Dessert|Spicy Food,0.892,"<p>Here at the edge of a lake in a shed in a small Irish town, the ordinary is made extraordinary. Within is the laboratory of PJ Rigney, boundary-pushing begetter of hand-made spirits who slow distills gin with natures finest oriental botanicals and gunpowder tea.</p>
<p>WIN – In celebration of a very different Pride this year, we are giving you the chance to win one of our Limited Edition Collectors’ Bottles and 6 minis to celebrate Pride 2020. To enter simply follow us, like this post & retweet. Good luck. T&C's. #drinkresponsibly #PRIDE2020</p>",700 ml,2189,validated,1
LGN0214AA,LGN0214,Suntory  Sui Japanese Craft Gin (700 ml),Gin,,Dry Gin,Japan,Japan,,,NV,Suntory,,,,,"[""fruit"",""spice"",""herbal""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>A wonderful new premium gin expression from drinks giant Suntory that was created using three of Japan&rsquo;s most famous flavours: Yuzu, Green Tea and Ginger, along with 8 traditional gin botanicals: juniper berry, coriander seed, angelica root, angelica seed, cardamom seed, cinnamon, bitter orange peel, and lemon peel</p>",700 ml,835,validated,1
LGN0308AA,LGN0308,Hendrick's  Flora Gin (700 ml),Gin,,Dry Gin,England,,,,NV,Hendrick's,,,medium,,"[""floral""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>Hendrick’s Flora Adora is a NEW limited release gin from Hendrick’s Cabinet of Curiosities that's inspired by the enticing flowers that attract all manner of flying things to pollinate our precious ecosystem. Our master distiller, Ms. Lesley Gracie, finds watching the butterflies and bees at work endlessly fascinating and has used the flowers that they adore the most in Hendrick’s Flora Adora. This luscious libation is infused with an enticingly fresh floral bouquet and is the go-to gin for garden get-togethers big and small.</p>",,2299,validated,1
LGN0313GC,LGN0313,Siam Lanna  Gin (700 ml),Gin,,Dry Gin,Thailand,,,,NV,Lanna,,light,low,,"[""herbal"",""floral""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>Siam Lanna Gin delivers a light, crisp, and lively floral notes, and is dry, mellow, and round in the mouth. The Umbria juniper are immediately evident from the very first sip, followed closely by the flavors of the botanicals. It concludes with a persistent, delicate, and well-rounded harmonious finish, with a lasting hint of pine and lemongrass. It is a complex and aromatic spirit, with layers of flavors that unfold on the palate, providing a captivating and memorable tasting experience.</p>",,1649,validated,1
LGN0348GR,LGN0348,Inchon  Esprit Des Champs Tranquilles Gin (750 ml),Gin,,Dry Gin,Thailand,,,,NV,Inchon,,medium,,,"[""fruit"",""oak"",""floral""]","Tonic, Seafood Cocktails, Light Appetizers, Citrus Dishes",0.892,"<p>Gin with floral and citrus notes, showcasing a light pale yellow appearance. Woody aromas on the nose lead to pine and dark leaf flavours with hints of walnut honey. Light to medium body with a short length of flavour.<br /><br /><strong>Awards </strong></p>
<p class=""competitionName"">Silver Medal : London Spirits Competition 2024 </p>",750 ml,949,validated,1
LGN0349AA,LGN0349,Hendrick's  Grand Cabaret Gin (700 ml),Gin,,Dry Gin,England,Champagne,,,NV,Hendrick's,,full,medium,,"[""fruit"",""herbal"",""oak"",""floral"",""mineral""]",Pork|Dessert,0.892,"<p>This exquisitely extravagant expression boasts a rich ensemble of bright flavours that seduce the senses. It seems that stone fruit flavours, rose scents and gin were a magical combination in the most opulent of establishments in Paris at the turn of the 20th Century, and eaux de vies, peach schnapps, cherry liqueurs and the like were the ‘in thing’ for those who had the means to celebrate in spectacular style.</p>
<p>Our Master Distiller, alchemist and liquid poet Lesley Gracie has deftly combined these flavours into a ravishingly fruity spirit, where pirouettes of decadent stone fruit share the stage with sweet herbs and make for an elegant sensory feast that is deliciously indulgent and yet as light as silk. </p>
<p>This is a bright, bold gin that has a rich depth and layers of flavour and yet is still refreshing and light – it’s ideal in a Hendrick’s Grand Cabaret and Tonic. If you want to be a little more fancy, the Hendrick’s Grand Cabaret Royale is an indulgent way to toast tantalising celebrations and combines Hendrick’s Grand Cabaret, cranberry, lime and a touch of sugar syrup which is topped with Champagne or sparkling wine for added decadence.</p>",,2299,validated,1
LGP0008AA,LGP0008,Nonino  Grappa Il Merlot (700 ml),Brandy,,,Italy,,,,NV,Nonino,,,low,,"[""fruit"",""oak"",""floral"",""mineral""]",Pasta,0.892,"Pure, soft and round with scents of rose petals and cherry stones. On the nose it recalls the smell of grape must being pressed.",,2739,validated,1
LGP0009AA,LGP0009,Nonino  Grappa Il Moscato (700 ml),Brandy,,,Italy,,,,NV,Nonino,,,medium,,"[""spice"",""herbal"",""oak"",""floral""]",Dessert|Pasta|Vegetables,0.832,"Elegant, aromatic, soft and sensual with the perfume of roses, thyme and vanilla.",,2739,validated,1
LGP0078BS,LGP0078,Bottega  Limoncino (700 ml),Brandy,,,Italy,Sicily,,,NV,Bottega,,,,,"[""fruit""]",Seafood|Dessert,0.904,"The lemons from Sicily are characterized by the aromatic intensity. Once collected, are peeled by hand. The skins of the lemons are then let steep in alcohol and grappa. The result is a sweet liqueur, fragrant and aromatic.",,1189,validated,1
LLQ0010AA,LLQ0010,Amaro Montenegro (750 ml),Liqueur,,Herbal Liqueur,Chile,,,,NV,Amaro Montenegro,,,,,"[""fruit"",""herbal""]",Dessert,0.892,"Amaro Montenegro was born in 1885 with the name Elisir Lungavita and immediately received notable recognition. 11 years later, marking the marriage of the charming Princess Elena of Montenegro to Prince Vittorio Emanuele III, Stanislao decided to dedicate his storied elixir to her royal highness, changing it’s name to Amaro Montenegro. 40 Botanicals create a unique taste as bitter and herbaceous, citrusy and sweet with 7 discovery notes.

It can be enjoyed straight, with soda water and lemon rind, or hot, as well as in various combinations in modern cocktails.",,1329,validated,1
LLQ0014CN,LLQ0014,Aperol  (700 ml),Liqueur,,,Italy,,,,NV,Aperol,,,,,"[""herbal""]",Dessert|Aperitif,0.892,"<p>Aperol is the perfect aperitif. Bright orange in color, it has a unique taste, thanks to the secret recipe, which has never been changed, with infusions of selected ingredients including bitter and sweet oranges and many other herbs and roots in perfect proportions.</p>",700 ml,995,validated,1
LLQ0058CN,LLQ0058,Cointreau  Orange Liqueur (700 ml),Liqueur,,Fruit Liqueur,France,,,,NV,Cointreau,,,,,,Dessert,0.892,"<p>A truly premium international brand created in 1849, made from 100% pure orange liqueur. Cointreau is a perfect marriage between sweet and bitter orange peels resulting in a crystal clear spirit with exquisite fullness, enveloping fragrance and fine clarity 3 Gold Medals, SFWSC 2007, 2008, 2009 | Hall of Fame Inductee Class of 2011, SJ June 2011</p>",700 ml,1459,validated,1
LLQ0061AA,LLQ0061,Midori  Melon Liqueur (700 ml),Liqueur,,,Japan,Japan,,,NV,Midori,,,medium,,"[""fruit"",""herbal""]",Dessert,0.892,"MIDORI is the original melon liqueur enhanced by premium Japanese musk melons that can be enjoyed with juices, spirits and other liqueurs. A fruity sensation of fresh melons.",700 ml,1449,validated,1
