ID,sku,SP Type,manufacturer,brand,name,bottle_size,vintage,9.9 price,Discount %,Margin,Order qty July,Order Aug,cost,price
107,WRW5051AJ,,Lovely Wine,G.D. Vajra,G.D. Vajra  Barolo Bricco delle Viole DOCG,750 ml,2019 [**VINTAGE MAY CHANGE],"4,369",9%,17%,,,"3,400","4,800"
179,WRW6128AC,,Universal Fine Wine & Spirit,Dana Estates,Dana Estates  Onda Cabernet Sauvignon Napa Valley,750 ml,2019 [**VINTAGE MAY CHANGE],"11,469",9%,16%,,,"9,000","12,600"
32,WRW5718DH,,Estella Wine,Castello Romitorio,Castello Romitorio  Brunello Di Montalcino Riserva DOCG,750 ml,2015 [**VINTAGE MAY CHANGE],"7,009",9%,17%,,,"5,467","7,700"
108,WRW5090AJ,,Lovely Wine,Giuseppe Cortese,Giuseppe Cortese  Barbaresco Riserva Rabaja,750 ml,2013 [**VINTAGE MAY CHANGE],"7,009",9%,16%,,,"5,500","7,700"
125,WRW5770DD,,Noble Marketing (Consignment),Grand Napa Vineyards,Grand Napa Vineyards  Reserve Cabernet Sauvignon,750 ml,2018 [**VINTAGE MAY CHANGE],"3,459",9%,17%,,,"2,699","3,800"
109,WRW7681AJ,,Lovely Wine,Giuseppe Cortese,Giuseppe Cortese Barbaresco (1.5 L) (Wooden Case),1500 ml (1.5 L),2019 [**VINTAGE MAY CHANGE],"7,829",9%,16%,,,"6,125","8,600"
127,WRW3467HI,,Orion Fine Wines,Antinori,"Pian delle Vigne By Antinori  Brunello Di Montalcino ""Vignaferrovia"" Riserva DOCG",750 ml,2019 [**VINTAGE MAY CHANGE],"5,189",9%,24%,,,"3,672","5,700"
110,WRW4125AJ,,Lovely Wine,Merryvale,Merryvale  Forward Kidd Napa,750 ml,2014 [**VINTAGE MAY CHANGE],"2,549",9%,16%,,,"1,990","2,800"
123,WRW6493FT,,LUXE WINE,Chateau Gruaud Larose,Sarget De Gruaud Larose Saint-Julien Second wine of Chateau Gruaud Larose,750 ml,2016 [**VINTAGE MAY CHANGE],"2,549",9%,18%,,,"1,960","2,800"
128,WRW0418HI,,Orion Fine Wines,Antinori,Pian delle Vigne By Antinori  Brunello di Montalcino DOCG,750 ml,2020 [**VINTAGE MAY CHANGE],"2,549",9%,24%,1,,"1,800","2,800"
84,WWW1947FJ,"White Burgundy, for Her",Italthai (Consignment),Albert Bichot,Albert Bichot  Puligny-Montrachet,750 ml,2022 [**VINTAGE MAY CHANGE],"5,689",9%,17%,,,"4,439","6,249"
124,WRW5769DD,,Noble Marketing (Consignment),Grand Napa Vineyards,"Grand Napa Vineyards  ""Stone Crib"" Rutherford Estate Cabernet Sauvignon",750 ml,2018 [**VINTAGE MAY CHANGE],"6,919",9%,17%,,,"5,399","7,600"
5,WRW4775AB,,BB&B,Chateau de Beaucastel,Chateau De Beaucastel  Chateauneuf de Pape,750 ml,2022 [**VINTAGE MAY CHANGE],"8,649",9%,16%,,,"6,800","9,500"
223,WRW7910HR,,"Vinum Lector Co.,Ltd",Chateau Pavie,Chateau Pavie Aromes De Pavie 2015,750 ml,2015 [**VINTAGE MAY CHANGE],"4,279",9%,16%,,,"3,375","4,700"
19,WWW5265AB,,BB&B,La Chablisienne,la Chablisienne  Chateau Grenouille Chablis,750 ml,2020 [**VINTAGE MAY CHANGE],"5,099",9%,16%,,,"4,004","5,600"
47,WRW6227BN,,IQ Wine,Chateau Bourgneuf,Chateau Bourgneuf  Pomerol,750 ml,2020 [**VINTAGE MAY CHANGE],"3,369",9%,17%,,,"2,600","3,700"
119,WRW6432FT,,LUXE WINE,Chateau Lynch Bages,Echo de Lynch Bages AOC Pauillac 2020,750 ml,2020 [**VINTAGE MAY CHANGE],"3,369",9%,17%,,,"2,620","3,700"
190,WRW4272FC,,Valentine Wines,Castello Di Ama,Castello Di Ama  San Lorenzo Chianti Classico Gran Selezione DOCG,750 ml,2019 [**VINTAGE MAY CHANGE],"3,369",9%,16%,,,"2,650","3,700"
206,WRW4972AF,,Vanichwathana,Chateau Chasse-Spleen,Chateau Chasse-Spleen,750 ml,2020 [**VINTAGE MAY CHANGE],"3,369",9%,16%,,,"2,651","3,700"
224,WRW1709HR,,"Vinum Lector Co.,Ltd",Chateau Siran,Chateau Siran  Margaux,750 ml,2021 [**VINTAGE MAY CHANGE],"1,639",9%,16%,,,"1,285","1,800"
80,WRW3396AA,,Italasia,Luce Della Vite,Luce Della Vite  Luce Brunello di Montalcino DOCG,750 ml,2020 [**VINTAGE MAY CHANGE],"6,119",9%,30%,2,2,"3,995","6,720"
42,WRW6380AE,,Gfour,Pietradolce,Pietradolce  Contrada Santo Spirito Etna Rosso,750 ml,2019 [**VINTAGE MAY CHANGE],"2,559",9%,26%,,,"1,765","2,810"
99,WRW3607AD,,IWS,Pio Cesare,Pio Cesare  Barolo DOCG,750 ml,2021 [**VINTAGE MAY CHANGE],"2,549",9%,18%,1,10,"1,945","2,799"
76,WRW5279AA,,Italasia,Beaulieu Vineyard,Beaulieu Vineyard  Napa Valley Cabernet Sauvignon,750 ml,2022 [**VINTAGE MAY CHANGE],"2,509",9%,42%,2,1,"1,355","2,755"
163,WRW1633BS,,Texica,Cordero Di Montezemolo,Cordero Di Montezemolo  Barolo Enrico VI DOCG (Single Vineyard),750 ml,2019 [**VINTAGE MAY CHANGE],"5,009",9%,16%,,,"3,920","5,500"
198,WRW6360FC,,Valentine Wines,Martin Ray,Martin Ray  Mount Veeder Cabernet Sauvignon Napa Valley,750 ml,2021 [**VINTAGE MAY CHANGE],"5,009",9%,17%,,,"3,900","5,500"
234,WRW5520EG,,Wine Direct (Thailand),Chateau Grand-Puy-Lacoste,Chateau Grand-Puy-Lacoste  2016,750 ml,2016 [**VINTAGE MAY CHANGE],"5,009",9%,16%,,,"3,950","5,500"
8,WRW4774AB,,BB&B,Famille Perrin,Famille Perrin  Chateauneuf du Pape - Les Sinards,750 ml,2022 [**VINTAGE MAY CHANGE],"2,459",9%,19%,2,,"1,870","2,700"
14,WWW2043AB,,BB&B,Henschke,"Henschke  Julius Riesling, Eden Valley",750 ml,2022 [**VINTAGE MAY CHANGE],"2,459",9%,17%,,,"1,913","2,700"
118,WRW6492FT,,LUXE WINE,Chateau Braniare-Ducru,Duluc De Branaire Ducru Saint-Julien Second wine of Chateau Branaire-Ducru,750 ml,2019 [**VINTAGE MAY CHANGE],"2,459",9%,18%,,,"1,890","2,700"
233,WWW1942DJ,,"Wine 5 Co.,Ltd. (Consignment)",Albert Bichot,Albert Bichot  Domaine Long-Depaquit  Chablis,750 ml,2022 [**VINTAGE MAY CHANGE],"2,459",9%,17%,,,"1,900","2,700"
78,WRW1064AA,,Italasia,Frescobaldi,Frescobaldi  Castelgiocondo Brunello di Montalcino DOCG,750 ml,2019 [**VINTAGE MAY CHANGE],"2,919",9%,39%,,,"1,673","3,205"
162,WRW1624BS,,Texica,Cordero Di Montezemolo,"Cordero Di Montezemolo  ""Monfalletto"" Barolo DOCG",750 ml,2021 [**VINTAGE MAY CHANGE],"3,279",9%,16%,,,"2,560","3,600"
168,WRW6103BS,,Texica,Renieri,Renieri  Brunello di Montalcino DOCG 2019,750 ml,2019 [**VINTAGE MAY CHANGE],"3,279",9%,16%,1,1,"2,560","3,600"
196,WRW6316FC,,Valentine Wines,Louis Latour,Louis Latour  Les Chaillots Aloxe-Corton 1er Cru,750 ml,2022 [**VINTAGE MAY CHANGE],"4,099",9%,16%,,,"3,200","4,500"
79,WRW4844AA,,Italasia,La Spinetta,"La Spinetta   Barolo ""Garretti"" DOCG",750 ml,2021 [**VINTAGE MAY CHANGE],"3,079",9%,42%,,,"1,659","3,380"
41,WRW6379AE,,Gfour,Pietradolce,Pietradolce  Contrada Rampante Etna Rosso,750 ml,2019 [**VINTAGE MAY CHANGE],"2,569",9%,28%,,,"1,720","2,820"
88,WRW5461FJ,,Italthai (Consignment),Casisano Montalcino,Casisano  Brunello di Montalcino DOCG,750 ml,2020 [**VINTAGE MAY CHANGE],"2,459",9%,16%,,,"1,919","2,699"
114,WWW1404AJ,,Lovely Wine,Spottswoode,Spottswoode  Sauvignon Blanc,750 ml,2021 [**VINTAGE MAY CHANGE],"3,189",9%,18%,,,"2,450","3,500"
149,WRW6949FS,,SK Liquor,J. Lohr,J. Lohr Carol Vineyards St. Helena Napa Valley Cabernet Sauvignon,750 ml,2021 [**VINTAGE MAY CHANGE],"3,189",9%,26%,,,"2,200","3,500"
154,WRW7557AU,,Smiling Dark House,Chateau d'Issan,Ch̢teau D'Issan 2019,750 ml,2019 [**VINTAGE MAY CHANGE],"3,189",9%,16%,,,"2,500","3,500"
9,WRW4772AB,,BB&B,Famille Perrin,Famille Perrin  Coudoulet de Beaucastel AOP Cote de Rhone Rouge,750 ml,2022 [**VINTAGE MAY CHANGE],"2,369",9%,17%,,,"1,828","2,600"
48,WRW2440BN,,IQ Wine,Chateau De Fieuzal,Chateau De Fieuzal  2020,750 ml,2020 [**VINTAGE MAY CHANGE],"2,369",9%,19%,,,"1,800","2,600"
152,WRW6217FS,,SK Liquor,Ch̢teau Clerc Milon,"Pastourelle De Clerc Milon  ""Le 2nd Vin De Chateau Clerc Milon"" 2016",750 ml,2016 [**VINTAGE MAY CHANGE],"2,369",9%,19%,1,5,"1,800","2,600"
73,WRW6048BN,,IQ Wine,Chateau Brown,Le Colombier De Brown Pessac-Leognan AOC,750 ml,2019 [**VINTAGE MAY CHANGE],"1,549",9%,17%,3,,"1,200","1,700"
170,WRW1311BS,,Texica,Ricasoli,Ricasoli  Rocca Guicciarda Chianti Classico Riserva DOCG,750 ml,2019 [**VINTAGE MAY CHANGE],"1,549",9%,17%,,1,"1,200","1,700"
43,WWW5457AE,,Gfour,Pietradolce,Pietradolce  Etna Bianco,750 ml,2022 [**VINTAGE MAY CHANGE],"1,349",9%,26%,,,929,"1,480"
18,WWW5262AB,,BB&B,La Chablisienne,La Chablisienne  Chablis 1er Cru Montmains,750 ml,2020 [**VINTAGE MAY CHANGE],"2,279",9%,16%,,,"1,785","2,500"
130,WRW7726HI,,Orion Fine Wines,Prunotto,Prunotto Barbaresco Bric Turot DOCG,750 ml,2021 [**VINTAGE MAY CHANGE],"2,279",9%,20%,,,"1,701","2,500"
158,WRW7689AU,,Smiling Dark House,Chateau Ducru Beaucaillou,Chateau Ducru Beaucaillou Madame de Beaucaillou Haut -Medoc 2020,750 ml,2020 [**VINTAGE MAY CHANGE],"1,459",9%,19%,,,"1,100","1,600"
161,WWW4887BS,,Texica,Cusumano,Alta Mora  Etna Bianco,750 ml,2022 [**VINTAGE MAY CHANGE],"1,459",9%,18%,1,1,"1,120","1,600"
169,WRW1309BS,,Texica,Ricasoli,Ricasoli  Brolio Chianti Classico DOCG,750 ml,2022 [**VINTAGE MAY CHANGE],"1,369",9%,19%,,,"1,040","1,500"
