ID,WEB,PRICE GROUP,Type,sku,is_in_stock,custom_stock_status,manufacturer,supplier_code,brand,name,bottle_size,vintage,cost,price,special_price,Margin THB,Margin %,SP discount %,B2B,B2B Margin THB,B2B Margin %,B2B Discount %,Content,WN Stock,Consign,Sold order Mar,Sold Qty Mar,promotion_price,promotion_tier_price,wine_type,country,region_wine,grape_class,grape_variety,wine_body,wine_acidity,wine_tanin,food_matching,liquor_main_type,other_type
1,W,A 0-1000,WDW,WDW0001AA,1,,Italasia,WBT-002S,Batasiolo,Batasiolo  Moscato Spumante Dolce,750 ml,NV,394.52535,755,698,257.81,40%,8%,570,138.18,26%,18%,Best Sellers Right Now,2,,2,3,Yes,No,Sparkling Wine,Italy,Piedmont,Moscato,Moscato 100%,Medium,Medium,Low,Dessert,,
2,W,A 0-1000,WDW,WDW0003AC,0,CATALOG,California,N/A,Quady,Quady  Electra,750 ml,Current vintage,750,979,,164.95,18%,,,,,,,,,,,Yes,No,Dessert Wine,USA,California | Central Coast,Moscato,100% Orange Muscat,Medium,High,Low,Dessert,,
3,W,B 1000-2000,WRS,WRS0002AA,0,,Italasia,WRG-001RS,Château la Tour de l'évêque,Chateau La Tour L'Eveque Pétale de Rose Rosé AOP,750 ml,Current vintage,595,1210,,535.84,47%,,910,255.47,30%,25%,,,,,,No,No,Rose Wine,France,Provence | Les Baux-de-Provence,Blended,"46% Cinsault, 32% Grenache, 12% Syrah, 5% Mourvèdre, 2% Ugni blanc, 1% Cabernet sauvignon, 1% Rolle, 1% Sémillon.",Medium,High,Low,Chicken|Fish|Seafood|Vegetables,,
4,W,A 0-1000,WRW,WRW0001AA,0,,Italasia,WGS-002R,Gran Sasso,Gran Sasso  Montepulciano D' Abruzzo DOC,750 ml,Current vintage,446,850,,348.39,44%,,640,152.13,25%,25%,,,,,,No,No,Red Wine,Italy,Abruzzo | Montepulciano d’Abruzzo,Montepulciano,100% Montepulciano,Full,High,High,Beef|Pasta,,
5,W,A 0-1000,WRW,WRW0002AD,1,,IWS,W-ITFT-02375,Vigneti Del Salento,Vigneti del Salento  I Muri` Negroamaro,750 ml,Current vintage,470,645,,132.80,22%,,570,62.71,12%,12%,,1,,1,1,Yes,No,Red Wine,Italy,Puglia,Negroamaro,100% Negroamaro,Medium,Medium,Medium,Beef|Cured Meat|Soft Cheese|Pasta,,
6,W,A 0-1000,WRW,WRW0003AA,0,,Italasia,WVZ-002R,Vigneti Di Zabu,Vigneti Di Zabu  Syrah Sicilia,750 ml,Current vintage,398,755,,307.61,44%,,570,134.71,25%,25%,,,,,,Yes,No,Red Wine,Italy,Sicily,Shiraz,Shiraz 100%,Medium,High,Low,Beef|Lamb|Spicy Food,,
7,W,A 0-1000,WRW,WRW0007AA,0,CATALOG,Italasia,WFL-002R,Finca La Celia,"Finca La Celia  La Celia Reserve,Cabernet Sauvignon",750 ml,Current vintage,468.75,800,,278.91,37%,,,,,,,,,,,No,No,Red Wine,Argentina,Mendoza,Cabernet Sauvignon,100% Cabernet Sauvignon,Full,Medium,High,Beef|Lamb|Cured Meat|Hard Cheese,,
8,W,A 0-1000,WRW,WRW0008AC,1,,"EU Wine Co.,Ltd.",N/A,Carta Vieja,Carta Vieja  Limited Release Cabernet Sauvignon,750 ml,Current vintage,550,719,668,74.30,12%,7%,660,66.82,11%,1%,Best Sellers Right Now,2,,,,Yes,No,Red Wine,Chile,Loncomilla Valley,Cabernet Sauvignon,Cabernet Sauvignon 100%,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
9,W,B 1000-2000,WRW,WRW0009AA,1,,Italasia,WAL-003R,Allegrini,Palazzo Grimani by Allegrini  Valpolicella Ripasso DOC,750 ml,Current vintage,553,1125,888,276.91,33%,21%,850,241.39,30%,4%,Best Sellers Right Now,1,,,,Yes,No,Red Wine,Italy,Tuscany,Blended,"Corvina Veronese 70%, Rondinella 30%",Full,Medium,Medium,Beef|Soft Cheese|Barbecue,,
10,W,A 0-1000,WRW,WRW0010AA,0,CATALOG,Italasia,WPK-005R,Parker,Parker  Favourite son Cabernet Merlot,750 ml,Current vintage,446.25,760,,264.03,37%,,,,,,,,,,,No,No,Red Wine,Australia,Coonawarra,Blended,Cabernet and Merlot,Medium,Medium,Medium,Beef|Cured Meat|Barbecue,,
11,W,A 0-1000,WRW,WRW0012AD,1,,IWS,W-ITAS-01475,Castello Banfi,Castello Banfi  Chianti,750 ml,Current vintage,550,889,,280.84,34%,,660,66.82,11%,26%,,,,,,Yes,No,Red Wine,Italy,Tuscany | Chianti DOCG,Sangiovese,Sangiovese 100%,Full,High,High,Beef|Lamb|Cured Meat|Soft Cheese|Pasta,,
12,W,B 1000-2000,WRW,WRW0020AC,1,,California,N/A,Noble Vines,"Noble Vines ""337"" Lodi  Cabernet Sauvignon",750 ml,Current vintage,820,1100,999,113.64,12%,9%,990,105.23,11%,1%,Cabernet Around the World,,,,,Yes,No,Red Wine,USA,California,Cabernet Sauvignon,Cabernet Sauvignon 100%,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
13,W,A 0-1000,WRW,WRW0021AD,0,CATALOG,IWS,W-FRCH-00375,Chanson Pere & Fils,Chanson Pere & Fils  Bourgogne Pinot Noir,750 ml,Current vintage,690,990,,235.23,25%,,,,,,,,,,,No,No,Red Wine,France,Burgundy,Pinot Noir,Pinot Noir 100%,Light,High,Low,Beef|Lamb|Soft Cheese,,
14,W,B 1000-2000,WRW,WRW0022AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Katnook,Katnook  Founder's Block Cabernet Sauvignon,750 ml,Current vintage,1010,1399,,297.48,23%,,,,,,,,,,,Yes,No,Red Wine,Australia,Coonawarra,Cabernet Sauvignon,Cabernet Sauvignon 100%,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
15,W,B 1000-2000,WRW,WRW0024AA,0,,Italasia,WPG-005R,Poggio Al Tesoro,Poggio Al Tesoro  Mediterra,750 ml,Current vintage,661.5,1350,,600.18,48%,,1010,282.43,30%,25%,,,,,,No,No,Red Wine,Italy,Tuscany,Blended,"40% Syrah, 30% Merlot, 30% Cabernet Sauvignon",Full,Medium,High,Beef|Cured Meat,,
16,W,B 1000-2000,WRW,WRW0025AD,1,,IWS,W-ITAS-01375,Castello Banfi,Castello Banfi  Chianti Classico DOCG,750 ml,Current vintage,790,1199,,330.56,29%,,950,97.85,11%,21%,,,,,,Yes,No,Red Wine,Italy,Tuscany | Chianti DOCG,Sangiovese,Sangiovese 100%,Full,High,High,Beef|Lamb|Cured Meat|Soft Cheese|Pasta,,
17,W,C 2000-3000,WRW,WRW0033AD,1,,IWS,W-NZRA-00275,Craggy Range,Craggy Range  Te Muna Pinot Noir Martinborough,750 ml,2021 [**VINTAGE MAY CHANGE],1445,2159,,572.76,28%,,1740,181.17,11%,19%,,,,,,Yes,No,Red Wine,New Zealand,Martinborough,Pinot Noir,Pinot Noir 100%,Medium,High,Low,Beef|Lamb|Soft Cheese,,
18,W,A 0-1000,WRW,WRW0034AD,1,,IWS (TWE),W-AUTR-07775,Rawson's Retreat,Rawson's Retreat  Shiraz & Cabernet,750 ml,Current vintage,373.079961,495,,89.54,19%,,450,47.48,11%,9%,,,,2,2,Yes,No,Red Wine,Australia,South Australia,Blended,Shiraz and Cabernet Sauvignon,Medium,Medium,Medium,Beef|Cured Meat|Barbecue,,
19,W,A 0-1000,WRW,WRW0035AD,1,,IWS (TWE),W-AUTR-07475,Rawson's Retreat,Rawson's Retreat  Cabernet Sauvignon,750 ml,Current vintage,373.08,495,,89.54,19%,,450,47.48,11%,9%,,,,2,2,Yes,No,Red Wine,Australia,South Australia,Cabernet Sauvignon,Cabernet Sauvignon (100%),Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
20,W,B 1000-2000,WRW,WRW0037AC,1,,California,N/A,Francis Coppola,Francis Coppola  Director's Cut Cabernet Sauvignon,750 ml,2019 [**VINTAGE MAY CHANGE],1500,2000,1868,245.79,14%,7%,1800,182.24,11%,4%,Cabernet Around the World,,,,,Yes,No,Red Wine,USA,California | Sonoma County,Cabernet Sauvignon,"85% Cabernet Sauvignon, 10% Petit Verdot, 5% Cabernet Franc",Full,Medium,High,Beef|Lamb|Cured Meat|Hard Cheese,,
21,W,B 1000-2000,WRW,WRW0039AD,1,,IWS,W-FRML-01075,Chateau Villa Bel Air,Chateau Villa Bel Air  Rouge,750 ml,Current vintage,790,1539,1199,330.56,29%,22%,1010,153.93,16%,16%,,,,,,Yes,No,Red Wine,France,Bordeaux | Graves,Blended,"Merlot 50%, Cabernet Sauvignon 40%, Cabernet Franc 10%",Full,Medium,Medium,Beef|Lamb|Cured Meat,,
22,W,F 5K-10K,WRW,WRW0047AA,0,,Italasia,WMT-008R,Mastrojanni,Mastrojanni  Brunello di Montalcino Vigna Schiena D'Asino DOCG,750 ml,2015 [**VINTAGE MAY CHANGE],4273.5,8710,,"3,866.69",48%,,6530,"1,829.30",30%,25%,,,,,,No,No,Red Wine,Italy,Tuscany | Brunello di Montalcino,Sangiovese,Sangiovese 100%,Full,High,High,Beef|Lamb|Cured Meat|Soft Cheese|Pasta,,
23,W,C 2000-3000,WRW,WRW0048AB,1,,BB&B,2401514,Seghesio,Seghesio  Sonoma Old Vin Zinfandel,750 ml,2021 [**VINTAGE MAY CHANGE],1887,2500,,449.45,19%,,2270,234.50,11%,9%,,,,,,No,No,Red Wine,USA,California | Sonoma County,Primitivo / Zinfandel,Zinfandel,Full,Medium,Medium,Beef|Lamb,,
24,W,B 1000-2000,WRW,WRW0061AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Katnook,Katnook  Founder's Block Shiraz,750 ml,Current vintage,1010,1399,,297.48,23%,,,,,,,,,,,Yes,No,Red Wine,Australia,Coonawarra,Shiraz,Shiraz 100%,Full,Medium,High,Beef|Lamb|Spicy Food,,
25,W,A 0-1000,WRW,WRW0062FS,1,,SK Liquor,,Santa Helena,Santa Helena  Varietal Merlot,750 ml,Current vintage,344,500,478,102.73,23%,4%,450,76.56,18%,6%,Best Sellers Right Now,3,,2,3,Yes,No,Red Wine,Chile,Colchagua Valley,Merlot,Merlot 100%,Full,Medium,High,Beef|Lamb|Pork|Duck|Cured Meat|Pasta,,
26,W,A 0-1000,WRW,WRW1921AC,1,,"EU Wine Co.,Ltd.",N/A,Carta Vieja,Carta Vieja  Cabernet Sauvignon,750 ml,Current vintage,480,619,578,60.19,11%,7%,580,62.06,11%,0%,Best Sellers Right Now,2,,,,Yes,No,Red Wine,Chile,Loncomilla Valley,Cabernet Sauvignon,Cabernet Sauvignon 100%,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
27,W,A 0-1000,WRW,WRW0064AC,1,,"EU Wine Co.,Ltd.",N/A,Carta Vieja,Carta Vieja  Limited Release Syrah,750 ml,Current vintage,550,719,,121.96,18%,,660,66.82,11%,8%,,1,,1,2,Yes,No,Red Wine,Chile,Loncomilla Valley,Shiraz,Shiraz 100%,Full,Medium,High,Beef|Lamb|Spicy Food,,
28,W,B 1000-2000,WRW,WRW0066AC,1,,California,N/A,Duckhorn,Duckhorn  Decoy Merlot,750 ml,2023 [**VINTAGE MAY CHANGE],1350,1800,1595,140.65,9%,11%,1590,135.98,9%,0%,Best Sellers Right Now,1,,2,14,Yes,No,Red Wine,USA,California | Sonoma County,Merlot,"98% Merlot, 1% Cabernet Sauvignon, 1% Petit Verdot",Full,Medium,High,Beef|Lamb|Cured Meat|Pasta,,
29,W,B 1000-2000,WRW,WRW0067AC,1,,California,6957601893419,Duckhorn,Duckhorn  Decoy Cabernet Sauvignon,750 ml,2022 [**VINTAGE MAY CHANGE],1350,1800,1595,140.65,9%,11%,1590,135.98,9%,0%,Cabernet Around the World,1,,2,2,Yes,No,Red Wine,USA,California | Sonoma County,Cabernet Sauvignon,"78% Cabernet Sauvignon, 13% Merlot, 4% Zinfandel, 2% Petite Sirah, 2% Syrah, 1% Petit Verdot",Full,Medium,High,Beef|Lamb|Cured Meat|Hard Cheese,,
30,W,A 0-1000,WRW,WRW0071AC,0,CATALOG,California,N/A,Crane Lake,Crane Lake  Malbec,750 ml,Current vintage,530,669,,95.23,15%,,,,,,,,,,,Yes,No,Red Wine,USA,California,Malbec,Malbec 100%,Full,Low,Medium,Beef|Lamb|Barbecue,,
31,W,A 0-1000,WRW,WRW0080AF,0,CATALOG,Vanichwathana,354072,Robertson Winery,Robertson Winery  Pinotage,750 ml,Current vintage,670,960,,227.20,25%,,,,,,,,,,,No,No,Red Wine,South Africa,Western Cape,Pinotage,Pinotage 100%,Full,Low,High,Beef|Barbecue,,
32,W,A 0-1000,WRW,WRW0081AF,0,CATALOG,Vanichwathana,3540523,Robertson Winery,Robertson Winery  Merlot,750 ml,2015 [**VINTAGE MAY CHANGE],615,980,,300.89,33%,,,,,,,,,,,No,No,Red Wine,South Africa,Western Cape,Merlot,Merlot 100%,Full,Medium,High,Beef|Lamb|Cured Meat|Pasta,,
33,W,A 0-1000,WRW,WRW0082AF,0,CATALOG,Vanichwathana,354012,Robertson Winery,Robertson Winery  Cabernet Sauvignon,750 ml,Current vintage,680,980,,235.89,26%,,,,,,,,,,,No,No,Red Wine,South Africa,Western Cape,Cabernet Sauvignon,Cabernet Sauvignon 100%,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
34,W,F 5K-10K,WRW,WRW0083AF,0,CATALOG,Vanichwathana,600127,Almaviva,Almaviva  2010,750 ml,2010 [**VINTAGE MAY CHANGE],7700,9249,,943.93,11%,,,,,,,,,,,Yes,No,Red Wine,Chile,Maipo Valley,Cabernet Sauvignon,"73% Cabernet Sauvignon , 22%Carmenere , 4% Cabernet Franc , 1%Merlot:",Medium,Medium,High,Beef|Lamb|Cured Meat|Hard Cheese,,
35,W,B 1000-2000,WRW,WRW0085AA,1,,Italasia,WLG-012R,Lungarotti,Lungarotti  San Giorgio,750 ml,2017 [**VINTAGE MAY CHANGE],959,1955,,868.10,48%,,1470,414.83,30%,25%,,,,,,Yes,No,Red Wine,Italy,Umbria,Blended,"Sangiovese 40%, Canaiolo 10%, Cabernet Sauvignon 50%",Full,Medium,Medium,Beef|Soft Cheese,,
36,W,B 1000-2000,WRW,WRW0086AA,1,,Italasia,WSN-006R,San Polo,San Polo  Rubio,750 ml,Current vintage,532,1085,,482.02,48%,,810,225.01,30%,25%,,,,,,Yes,No,Red Wine,Italy,Tuscany,Sangiovese,Sangiovese 100%,Full,High,High,Beef|Lamb|Cured Meat|Soft Cheese|Pasta,,
37,W,A 0-1000,WRW,WRW0105AC,1,,"EU Wine Co.,Ltd.",N/A,Inspired Company,Inspired Company  Shiraz Cabernet,750 ml,Current vintage,360,499,488,96.07,21%,2%,440,51.21,12%,10%,Best Sellers Right Now,2,,2,9,Yes,No,Red Wine,Australia,South Eastern Australia,Blended,Shiraz and Cabernet Sauvignon,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
38,W,C 2000-3000,WRW,WRW0107AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Katnook,Katnook  Estate Cabernet Sauvignon,750 ml,2013 [**VINTAGE MAY CHANGE],1600,2199,,455.14,22%,,,,,,,,,,,Yes,No,Red Wine,Australia,Coonawarra,Cabernet Sauvignon,Cabernet Sauvignon 100%,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
39,W,D 3000-4000,WRW,WRW0108AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Katnook,Katnook  Limited Release Prodigy Shiraz,750 ml,2016 [**VINTAGE MAY CHANGE],3200,3839,,387.85,11%,,,,,,,,,,,Yes,No,Red Wine,Australia,Coonawarra,Shiraz,Shiraz,Full,Medium,High,Beef|Lamb|Spicy Food,,
40,W,D 3000-4000,WRW,WRW0109AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Katnook,Katnook  Limited Release Odyssey Cabernet Sauvignon,750 ml,2009 [**VINTAGE MAY CHANGE],3200,3739,,294.39,8%,,,,,,,,,,,Yes,No,Red Wine,Australia,Coonawarra,Cabernet Sauvignon,Cabernet Sauvignon,Full,Medium,High,Beef|Lamb|Cured Meat|Hard Cheese,,
41,W,A 0-1000,WRW,WRW0119AC,1,,"EU Wine Co.,Ltd.",N/A,Sunnycliff,Sunnycliff  Shiraz Cabernet Sauvignon,750 ml,Current vintage,375,469,458,53.04,12%,2%,450,45.56,11%,2%,Best Sellers Right Now,2,,2,7,Yes,No,Red Wine,Australia,Victoria,Blended,Shiraz and Cabernet Sauvignon,Medium,Medium,Medium,Beef|Cured Meat|Barbecue,,
42,W,A 0-1000,WRW,WRW0120AC,1,,"EU Wine Co.,Ltd.",N/A,Sunnycliff,Sunnycliff  Shiraz,750 ml,Current vintage,375.006945,469,458,53.03,12%,2%,450,45.55,11%,2%,Best Sellers Right Now,2,,1,5,Yes,No,Red Wine,Australia,Victoria,Shiraz,Shiraz,Medium,Medium,Medium,Beef|Lamb|Spicy Food,,
43,W,A 0-1000,WRW,WRW0121AC,1,,"EU Wine Co.,Ltd.",N/A,Sunnycliff,Sunnycliff  Cabernet Sauvignon,750 ml,Current vintage,375,469,,63.32,14%,,450,45.56,11%,4%,,1,,2,3,Yes,No,Red Wine,Australia,Victoria,Cabernet Sauvignon,100% Cabernet Sauvignon,Full,Medium,Medium,Beef|Cured Meat|Barbecue,,
44,W,C 2000-3000,WRW,WRW0128AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Tim Smith,Tim Smith  Barossa Shiraz,750 ml,2014 [**VINTAGE MAY CHANGE],1700,2199,,355.14,17%,,,,,,,,,,,Yes,No,Red Wine,Australia,Barossa Valley,Shiraz,Shiraz,Full,Medium,High,Beef|Lamb|Spicy Food,,
45,W,C 2000-3000,WRW,WRW0129AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Tim Smith,Tim Smith  Mataro Grenache Shiraz (MGS),750 ml,2014 [**VINTAGE MAY CHANGE],1650,2149,,358.41,18%,,,,,,,,,,,Yes,No,Red Wine,Australia,Barossa Valley,Blended,"Mataro 65%, Grenache 25%, Shiraz 10%",Full,Medium,High,Beef|Lamb|Cured Meat,,
46,W,A 0-1000,WRW,WRW0130AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Tree Line,Tree Line  Cabernet Merlot,750 ml,Current vintage,560,810,,197.01,26%,,,,,,,,,,,No,No,Red Wine,Australia,South Eastern Australia,Blended,Cabernet Sauvignon and Merlot,Medium,Medium,Medium,Beef|Cured Meat|Barbecue,,
47,W,A 0-1000,WRW,WRW0131AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Tree Line,Tree Line  Shiraz Cabernet,750 ml,Current vintage,560,810,,197.01,26%,,,,,,,,,,,No,No,Red Wine,Australia,South Eastern Australia,Blended,Shiraz and Cabernet Sauvignon,Medium,Medium,Medium,Beef|Cured Meat|Barbecue,,
48,W,B 1000-2000,WSP,WSP0002AA,0,,Italasia,WDM-004-CH,Salon-Delamotte,Delamotte  Brut (375 ml),375 ml,NV,735,1495,,662.20,47%,,1120,311.73,30%,25%,,,,,,Yes,No,Champagne,France,Champagne,Blended,"Chardonnay 55% ,Pinot Noir 35%, Pinot Meunier 10%",Full,High,Low,Fish|Seafood,,
49,W,C 2000-3000,WSP,WSP0003FO,0,CATALOG,Wine Merchant,,Billecart-Salmon,Billecart Salmon  Brut Reserve,750 ml,N/V,1990,2499,,345.51,15%,,,,,,,,,,,Yes,No,Champagne,France,Champagne,Blended,"Pinot Noir, Chardonnay and Pinot Meunier",Full,High,Low,Fish|Seafood,,
50,W,E 4000-5000,WSP,WSP0005FO,1,,Wine Merchant,,Billecart-Salmon,Billecart Salmon  Le Rose,750 ml,N/V,3162.06,4200,3999,575.32,15%,5%,3800,389.34,11%,5%,,,,3,19,Yes,No,Champagne,France,Champagne,Blended,"Chardonnay 50%, Pinot Noir 40%, Pinot Meunier 10%",Full,High,Low,Fish|Seafood,,
51,W,A 0-1000,WSP,WSP0009AA,1,,Italasia,WBT-003SP,7 Cascine,7 Cascine  Prosecco Extra Dry Spumante,750 ml,NV,413,840,749,287.00,41%,11%,630,175.79,30%,16%,Best Sellers Right Now,4,,2,5,Yes,No,Sparkling Wine,Italy,Veneto | Prosecco,Prosecco,Prosecco 100%,Light,High,Low,Fish|Seafood|Vegetables,,
52,W,A 0-1000,WSP,WSP0013AA,0,CATALOG,Italasia,WBT-002SP,7 Cascine,7 Cascine  Pinot Chardonnay,750 ml,N/V,367.5,620,,211.94,37%,,,,,,,,,,,No,No,Sparkling Wine,Italy,Piedmont,Blended,"Chardonnay,Pinot Noir",Full,High,Low,Fish|Seafood,,
53,W,C 2000-3000,WSP,WSP0014AF,1,,Vanichwathana,260002,Deutz,Deutz  Brut Classic,750 ml,N/V,1832,2400,,410.99,18%,,2200,224.07,11%,8%,,,,,,No,No,Champagne,France,Champagne,Blended,"Chardonnay 34%, Pinot Noir 33%, Pinot Meunier 33%",Full,High,Low,Fish|Seafood,,
54,W,D 3000-4000,WSP,WSP0015AF,1,,Vanichwathana,260023,Deutz,Deutz  Brut Rose,750 ml,N/V,2640,3500,,631.03,19%,,3170,322.62,11%,9%,,,,,,No,No,Champagne,France,Champagne,Pinot Noir,Pinot Noir 100%,Full,High,Low,Fish|Seafood,,
55,W,D 3000-4000,WSP,WSP2491AF,1,,Vanichwathana,,Pol Roger,Pol Roger  Brut Reserve,750 ml,N/V,2792,3700,,665.94,19%,,3350,338.84,11%,9%,,,,,,No,No,Champagne,France,Champagne,Blended,"Pinot Noir 33%, Chardonnay 34%, Pinot Meunier 33%",Full,High,Low,Fish|Seafood,,
56,W,E 4000-5000,WSP,WSP0017AF,1,,Vanichwathana,250101,Pol Roger,Pol Roger  Rich Demi-Sec,750 ml,N/V,3360,4400,,752.15,18%,,4030,406.36,11%,8%,,,,,,No,No,Champagne,France,Champagne,Blended,"Pinot Noir 33%, Chardonnay 34%, Pinot Meunier 33%",Full,High,Low,Fish|Seafood,,
57,W,B 1000-2000,WSP,WSP0022AC,0,CATALOG,California,N/A,Crane Lake,Crane Lake  Sparkling Brut,750 ml,Current vintage,700.93,1010,,243.00,26%,,,,,,,,,,,No,No,Sparkling Wine,USA,California,Colombard,"French Colombard 55.76% ,Chardonnay  35.79% ,Proprietor  8.45%",Light,High,Low,Fish|Seafood|Vegetables,,
58,W,A 0-1000,WSP,WSP0025AA,0,,Italasia,WFX-001RS,Freixenet,Freixenet  Cordon Rosado Brut,750 ml,N/V,392,800,,355.66,48%,,600,168.75,30%,25%,,,,,,No,No,Sparkling Wine,Spain,Catalunya,Blended,Trepat and Garnacha,Light,High,Low,Fish|Seafood|Dessert,,
59,W,A 0-1000,WSP,WSP0026AA,1,,Italasia,WFX-001SP,Freixenet,Freixenet  Cordon Negro Brut,750 ml,NV,392,800,,355.66,48%,,600,168.75,30%,25%,,4,,1,2,No,No,Sparkling Wine,Spain,Catalunya,Blended,"35% Cavaare Macabeo, 25% Xarel·lo , 40% Parellada",Light,High,Low,Fish|Seafood|Dessert,,
60,W,A 0-1000,WSP,WSP0027AC,1,,"EU Wine Co.,Ltd.",N/A,Freixenet,Freixenet  Vintage Reserva Brut,750 ml,Current vintage,650,849,,143.46,18%,,780,78.97,11%,8%,,1,,1,6,Yes,No,Sparkling Wine,Spain,Catalunya,Blended,"50% Macabeo, 15% Xarel·lo, 35% Parellada",Full,High,Low,Soft Cheese|Fish|Seafood,,
61,W,D 3000-4000,WSP,WSP0030AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Jacquart,Jacquart  Champagne Rose (Brut),750 ml,N/V,2873.835,3359,,265.42,8%,,,,,,,,,,,Yes,No,Champagne,France,Champagne,Blended,"Chardonnay 40%, Pinot Meunier 30%, Pinot Noir 18%",Full,High,Low,Fish|Seafood,,
62,W,D 3000-4000,WSP,WSP0032AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Lanson,Lanson  Champagne Brut Rose (Rose Label),750 ml,N/V,2698.5975,3149,,244.39,8%,,,,,,,,,,,Yes,No,Champagne,France,Champagne,Blended,"Chardonnay 32%, Pinot Noir 53% and Pinot Meunier 15%",Full,High,Low,Fish|Seafood,,
63,W,D 3000-4000,WSP,WSP0033AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Lanson,Lanson  Champagne Brut (Gold Label),750 ml,2002 [**VINTAGE MAY CHANGE],2873.835,3359,,265.42,8%,,,,,,,,,,,Yes,No,Champagne,France,Champagne,Blended,"Pinot Noir 51%, Chardonnay 49%",Full,High,Low,Fish|Seafood,,
64,W,A 0-1000,WSP,WSP0035AC,1,,"EU Wine Co.,Ltd.",N/A,Opera Prima,Opera Prima  Brut,750 ml,N/V,440,559,,82.43,16%,,530,55.33,11%,5%,,,,,,Yes,No,Sparkling Wine,Spain,Others region,Others,Unknown grape varieties,,,,,,
65,W,A 0-1000,WSP,WSP0036AC,1,,"EU Wine Co.,Ltd.",N/A,Opera Prima,Opera Prima  Gold Moscato,750 ml,N/V,440,559,528,53.46,11%,6%,530,55.33,11%,0%,Best Sellers Right Now,1,,,,Yes,No,Sparkling Wine,Spain,La Mancha,Moscato,100% Muscato,Light,Medium,Low,Dessert,,
66,W,A 0-1000,WSP,WSP0037AC,1,,"EU Wine Co.,Ltd.",N/A,Opera Prima,Opera Prima  Pink Moscato,750 ml,N/V,440,559,,82.43,16%,,530,55.33,11%,5%,,1,,1,2,Yes,No,Sparkling Wine,Spain,La Mancha,Moscato,"97% Muscat, 3%Tempranillo",Light,Medium,Low,Dessert,,
67,W,C 2000-3000,WSP,WSP0038AC,1,,California,N/A,Schramsberg,Schramsberg  Blanc de Blancs,750 ml,2020 [**VINTAGE MAY CHANGE],1700,2300,,449.53,21%,,2040,206.54,11%,11%,,,,,,No,No,Sparkling Wine,USA,California | Central Coast,Chardonnay,Chardonnay 100%,Light,High,Low,Fish|Seafood,,
68,W,B 1000-2000,WSP,WSP0039AC,0,,California,N/A,Schramsberg,Schramsberg  Mirabelle Brut,750 ml,NV,1500,2000,,369.16,20%,,1800,182.24,11%,10%,,,,,,No,No,Sparkling Wine,USA,California | Central Coast,Blended,"Pinot Noir 52%, Chardonnay 48%",Light,High,Low,Fish|Seafood,,
69,W,C 2000-3000,WSP,WSP0040AC,0,,California,N/A,Schramsberg,Schramsberg  Blanc de Noirs,750 ml,2019 [**VINTAGE MAY CHANGE],1700,2300,,449.53,21%,,2040,206.54,11%,11%,,,,,,No,No,Sparkling Wine,USA,California | Central Coast,Pinot Noir,"Pinot Noir 74%, Chardonnay 26%",Medium,High,Low,Fish|Seafood,,
70,W,C 2000-3000,WSP,WSP0041AC,0,,California,N/A,Schramsberg,Schramsberg  Mirabelle Brut Rose,750 ml,NV,1650,2200,,406.07,20%,,1980,200.47,11%,10%,,,,,,No,No,Sparkling Wine,USA,California | Central Coast,Blended,"Chardonnay 51%, Pinot Noir 49%",Light,High,Low,Fish|Seafood,,
71,W,A 0-1000,WWW,WWW0006AD,0,CATALOG,IWS,W-FRCH-00175,Chanson Pere & Fils,Chanson Pere & Fils  Bourgogne Chandonnay,750 ml,Current vintage,690,990,,235.23,25%,,,,,,,,,,,No,No,White Wine,France,Burgundy,Chardonnay,Chardonnay 100%,Medium,Medium,Low,Chicken|Fish|Seafood|Vegetables,,
72,W,B 1000-2000,WWW,WWW0007AB,0,CATALOG,BB&B,802164,Schloss Vollrads,Schloss Vollrads  Sommer Riesling,750 ml,Current vintage,748,1030,,214.62,22%,,,,,,,,,,,No,No,White Wine,Germany,Rheingau,Riesling,Riesling 100%,Light,High,Low,Chicken|Fish|Seafood|Spicy Food|Vegetables,,
