ID,WEB,PRICE GROUP,Type,sku,is_in_stock,custom_stock_status,manufacturer,supplier_code,brand,name,bottle_size,vintage,cost,price,special_price,Margin THB,Margin %,SP discount %,B2B,B2B Margin THB,B2B Margin %,B2B Discount %,Content,WN Stock,Consign,Sold order Mar,Sold Qty Mar,promotion_price,promotion_tier_price,wine_type,country,region_wine,grape_class,grape_variety,wine_body,wine_acidity,wine_tanin,food_matching,liquor_main_type,other_type
1929,W,E 4000-5000,WRW,WRW1634BS,0,,Texica,,Edi Simcic,Edi Simcic  Kolos,750 ml,2015 [**VINTAGE MAY CHANGE],3200,4200,,725.23,18%,,3840,388.79,11%,9%,,,,,,No,No,Red Wine,Slovenia,Others region,Blended,"Merlot, Cabernet Sauvignon, Cabernet Franc",Medium,High,Medium,Beef|Lamb|Mushroom,,
1930,W,F 5K-10K,WRW,WRW1636BS,1,,Texica,N/A,Rocca Di Frassinello,Rocca Di Frassinello  Baffonero DOC,750 ml,2018 [**VINTAGE MAY CHANGE],7600,9800,,"1,558.88",17%,,8950,764.49,9%,9%,,,,,,No,No,Red Wine,Italy,Tuscany,Merlot,100% Merlot,Full,Medium,High,Beef|Lamb|Cured Meat|Pasta,,
1931,W,B 1000-2000,WWW,WWW1179BS,1,,Texica,N/A,Cristo Di Campobello,Cristo Di Campobello  Bianco IGP,750 ml,Current vintage,769.5,1100,,258.54,25%,,940,109.00,12%,15%,,,,,,No,No,White Wine,Italy,Sicily,Blended,"Chardonnay, Grillo, Insolia, Catarratto",Medium,Medium,Low,Chicken|Fish|Seafood|Vegetables,,
1932,W,B 1000-2000,WWW,WWW1182BS,1,,Texica,N/A,Marchesi Di Barolo,Marchesi Di Barolo  Gavi di Gavi DOCG,750 ml,Current vintage,1120,1500,,281.87,20%,,1350,141.68,11%,10%,,,,,,No,No,White Wine,Italy,Piedmont,Cortese,Cortese 100%,Medium,Medium,Low,Hard Cheese|Fish|Vegetables,,
1933,W,B 1000-2000,WWW,WWW1183BS,1,,Texica,N/A,Cordero Di Montezemolo,Cordero Di Montezemolo  Langhe Arneis DOC,750 ml,Current vintage,1040,1400,,268.41,21%,,1250,128.22,11%,11%,,,,,,No,No,White Wine,Italy,Piedmont,Others,100% Arneis,,,,,,
1934,W,B 1000-2000,WWW,WWW1184BS,1,,Texica,N/A,Rocca Di Frassinello,Rocca Di Frassinello  Vermentino IGT,750 ml,Current vintage,1040,1400,,268.41,21%,,1250,128.22,11%,11%,,,,,,No,No,White Wine,Italy,Tuscany,Vermentino,100% Vermentino,Medium,Medium,Low,Fish|Seafood,,
1935,W,B 1000-2000,WWW,WWW1187BS,1,,Texica,N/A,Monchiero Carbone,Monchiero Carbone  Roero Arneis Cecu d la Biunda DOCG,750 ml,2022 [**VINTAGE MAY CHANGE],1200,1600,,295.33,20%,,1440,145.79,11%,10%,,,,,,No,No,White Wine,Italy,Piedmont,Nebbiolo,Nebbiolo,Full,Medium,Medium,Beef|Lamb|Soft Cheese|Barbecue|Pasta,,
1936,W,B 1000-2000,WWW,WWW1188BS,1,,Texica,,Cristo Di Campobello,Cristo Di Campobello  Laluci DOC,750 ml,Current vintage,1040,1400,,268.41,21%,,1250,128.22,11%,11%,,,,,,No,No,White Wine,Italy,Sicily,Others,Grillo,Medium,Medium,Low,Fish|Seafood,,
1937,W,B 1000-2000,WWW,WWW1192BS,1,,Texica,N/A,Edi Simcic,Edi Simcic  Triton Lex,750 ml,2020 [**VINTAGE MAY CHANGE],1200,1600,,295.33,20%,,1440,145.79,11%,10%,,,,,,No,No,White Wine,Slovenia,Others region,Blended,"Sauvignon Blanc,Chardonny, Rebula.",Full,High,Low,Chicken|Fish|Seafood|Vegetables,,
1938,W,B 1000-2000,WWW,WWW1203AC,0,CATALOG,"EU Wine Co.,Ltd.",N/A,Katnook,Katnook  Founder's Block Chardonnay,750 ml,Current vintage,860,1119,,185.79,18%,,,,,,,,,,,Yes,No,White Wine,Australia,Coonawarra,Chardonnay,Chardonnay 100%,Medium,Medium,Low,Chicken|Fish|Seafood|Vegetables,,
1939,L,A 0-1000,LVK,LVK0050AF,0,CATALOG,Vanichwathana,140056,Artic,Artic  Apple (700 ml),700 ml,,420,650,,187.48,31%,,,,,,,,,,,No,No,,Italy,,,,,,,,Vodka,
1940,L,A 0-1000,LVK,LVK0049AF,0,CATALOG,Vanichwathana,140061,Artic,"Artic  Premium ""100% Grain Vodka"" (700 ml)",700 ml,,480,650,,127.48,21%,,,,,,,,,,,No,No,,Italy,,,,,,,,Vodka,
1941,L,A 0-1000,LVK,LVK0051AF,0,CATALOG,Vanichwathana,140052,Artic,Artic  Melon (700 ml),700 ml,,480,650,,127.48,21%,,,,,,,,,,,No,No,,Italy,,,,,,,,Vodka,
1942,L,A 0-1000,LVK,LVK0052AF,0,CATALOG,Vanichwathana,140054,Artic,Artic  Strawberry (700 ml),700 ml,,480,650,,127.48,21%,,,,,,,,,,,No,No,,Italy,,,,,,,,Vodka,
1943,W,A 0-1000,WSP,WSP1069AK,0,CATALOG,Sibour,DJB,Jaume Serra,Jaume Serra  Brut,750 ml,N/V,540,780,,188.97,26%,,,,,,,,,,,No,No,Sparkling Wine,Spain,Catalunya,Blended,"50% Macabeo, 35% Parellada, 15% Xarel-lo",Light,High,Low,Fish|Seafood,,
1944,L,D 3000-4000,LWH,LWH0160BU,1,,Diageo,698788,Dalwhinnie,Dalwhinnie  15 Years (700 ml),700 ml,,3074,3289,,-0.17,0%,,3280,-8.58,0%,0%,,,,1,1,Yes,No,,Scotland,,,,,,,,Whisky,
1945,L,D 3000-4000,LGP,LGP0036AB,0,CATALOG,BB&B,,Donnafugata,Donnafugata  Grappa di Ben Rye (500 ml),500 ml,,3645,3919,,17.62,0%,,,,,,,,,,,Yes,No,,Italy,,,,,,,,Others,Grappa
1946,L,D 3000-4000,LGP,LGP0035AB,0,CATALOG,BB&B,,Donnafugata,Donnafugata  Grappa Mille e Una Notte (500 ml),500 ml,,3645,3919,,17.62,0%,,,,,,,,,,,Yes,No,,Italy,,,,,,,,Others,Grappa
1947,L,F 5K-10K,LGP,LGP0073BS,0,CATALOG,Texica,,Bottega,Bottega  Alexander Jeroboam Grappa Bianca Server ( 3 L),3000 ml (3 L),,5000,5859,,475.70,9%,,,,,,,,,,,Yes,No,,Italy,,,,,,,,Others,Grappa
1948,L,B 1000-2000,LGP,LGP0067BS,0,CATALOG,Texica,,Alexander,Alexander  Grappa Bianca (700 ml),700 ml,,1000,1380,,289.72,22%,,,,,,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1949,L,C 2000-3000,LGP,LGP0070BS,0,CATALOG,Texica,,Bottega,Bottega  Alexander Grappa di Prosecco (350 ml) (Grappolo),350 ml,,2450,2989,,343.46,12%,,,,,,,,,,,Yes,No,,Italy,,,,,,,,Others,Grappa
1950,L,C 2000-3000,LGP,LGP0069BS,0,CATALOG,Texica,,Bottega,Bottega  Alexander Grappa di Prosecco (200 ml) (Grappolo),200 ml,,2000,2750,,570.09,22%,,,,,,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1951,L,E 4000-5000,LGP,LGP0071BS,0,CATALOG,Texica,,Bottega,Bottega  Alexander Grappa di Prosecco (700 ml) (Grappolo),700 ml,,3100,4260,,881.31,22%,,,,,,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1952,L,B 1000-2000,LGP,LGP0068BS,0,CATALOG,Texica,,Bottega,Bottega  Alexander Grappa Prosecco (700 ml),700 ml,,1230,1690,,349.44,22%,,,,,,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1953,L,B 1000-2000,LGP,LGP0075BS,0,CATALOG,Texica,,Bottega,Bottega  Alexander Spray Moscato Grappa (100 ml),100 ml,,1250,1720,,357.48,22%,,,,,,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1954,L,C 2000-3000,LGP,LGP0066BS,0,CATALOG,Texica,,Bottega,Bottega  Alexander Grappa di Amarone (700 ml),700 ml,,1500,2070,,434.58,22%,,,,,,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1955,W,A 0-1000,WSP,WSP1066AC,1,,"EU Wine Co.,Ltd.",N/A,Don Luciano,Don Luciano  Brut,750 ml,N/V,440,559,528,53.46,11%,6%,530,55.33,11%,0%,Best Sellers Right Now,1,,,,Yes,No,Sparkling Wine,Spain,La Mancha,Blended,N/A,Light,High,Low,Fish|Seafood,,
1956,L,B 1000-2000,LGP,LGP0076BS,1,,Texica,,Bottega,Bottega  Nero Chocolate Grappa (500 ml),500 ml,,841.5,1100,,186.54,18%,,970,65.04,7%,12%,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1957,L,B 1000-2000,LGP,LGP0080BS,0,CATALOG,Texica,,Bottega,Bottega  Crema di Lamponi (Rasberry) (500 ml),500 ml,,890,1230,,259.53,23%,,,,,,,,,,,No,No,,Italy,,,,,,,,Others,Grappa
1958,L,A 0-1000,LGP,LGP0078BS,1,,Texica,,Bottega,Bottega  Limoncino (700 ml),700 ml,,765.16,1000,,169.42,18%,,920,94.65,11%,8%,,,,,,No,No,,Italy,,,,,,,,Liqueur,
1959,W,E 4000-5000,WRW,WRW2238BS,1,,Texica,N/A,Castellare Di Castellina,Castellare Di Castellina  Poggio ai Merli IGT,750 ml,2019 [**VINTAGE MAY CHANGE],3440,4500,,765.61,18%,,4130,419.81,11%,8%,,,,,,No,No,Red Wine,Italy,Tuscany,Merlot,100% Merlot,Medium,Medium,Medium,Beef|Lamb,,
1960,W,A 0-1000,WSP,WSP1068AK,0,CATALOG,Sibour,DLR,Don Luciano,Don Luciano  Rosado,750 ml,N/V,480,690,,164.86,26%,,,,,,,,,,,No,No,Sparkling Wine,Spain,La Mancha,Blended,N/A,Light,High,Low,Fish|Seafood,,
1961,W,A 0-1000,WSP,WSP1067AK,0,CATALOG,Sibour,DLS,Don Luciano,Don Luciano  Semi seco,750 ml,N/V,480,690,,164.86,26%,,,,,,,,,,,No,No,Sparkling Wine,Spain,La Mancha,Blended,N/A,Light,High,Low,Fish|Seafood,,
1962,W,B 1000-2000,WSP,WSP1169AK,0,CATALOG,Sibour,MIC,Champagne Jose Michel,Champagne Jose Michel  Carte Blanche Brut (375 ml),375 ml,N/V,750,1080,,259.35,26%,,,,,,,,,,,No,No,Champagne,France,Champagne,Blended,Pinot Meunier and Chardonnay,Full,High,Low,Fish|Seafood,,
1963,W,A 0-1000,WRW,WRW1502AK,0,CATALOG,Sibour,NPN,Norfolk Rise,Norfolk Rise  Pinot Noir,750 ml,Current vintage,620,890,,211.78,25%,,,,,,,,,,,No,No,Red Wine,Australia,South Australia,Pinot Noir,100% Pinot Noir,Medium,High,Low,Beef|Lamb|Soft Cheese,,
1964,G,A 0-1000,GWN,GWN0135BD,0,CATALOG,Oceanglass,3LS10SL0802G0000,Lucaris,Lucaris  Desire Sparkling Set of 2 (240 ml),,,670.56,899,,169.63,20%,,,,,,,,,,,Yes,No,,Thailand,,,,,,,,,
1965,G,A 0-1000,GWN,GWN0136BD,0,CATALOG,Oceanglass,3LS10RR2502G0000,Lucaris,Lucaris  Desire Robust Red Set of 2 (700 ml),,,713.08,899,,127.11,15%,,,,,,,,,,,Yes,No,,Thailand,,,,,,,,,
1966,G,A 0-1000,GWN,GWN0137BD,0,CATALOG,Oceanglass,3LS10ER2102G0000,Lucaris,Lucaris  Desire Elegant Red Set of 2 (590 ml),,,713.08,899,,127.11,15%,,,,,,,,,,,Yes,No,,Thailand,,,,,,,,,
1967,G,A 0-1000,GWN,GWN0138BD,0,CATALOG,Oceanglass,3LS10RW1702G0000,Lucaris,Lucaris  Desire Rich White Set of 2 (485 ml),,,670.56,899,,169.63,20%,,,,,,,,,,,Yes,No,,Thailand,,,,,,,,,
1968,G,A 0-1000,GWN,GWN0139BD,0,CATALOG,Oceanglass,3LS10CW1302G0000,Lucaris,Lucaris  Desire Crisp White Set of 2 (365 ml),,,670.56,899,,169.63,20%,,,,,,,,,,,Yes,No,,Thailand,,,,,,,,,
1969,G,A 0-1000,GWN,GWN0140BD,0,CATALOG,Oceanglass,3LS10US1502G0000,Lucaris,Lucaris  Desire Universal Set of 2 (420 ml),,,670.56,899,,169.63,20%,,,,,,,,,,,Yes,No,,Thailand,,,,,,,,,
1970,L,D 3000-4000,LWH,LWH0159BU,0,CATALOG,Diageo,699457,Oban,Oban  14 Years (700 ml),700 ml,,3074,3289,,-0.17,0%,,,,,,,,,,,Yes,No,,Scotland,,,,,,,,Whisky,
1971,L,E 4000-5000,LWH,LWH0161BU,1,,Diageo,698710,Lagavulin,Lagavulin  16 Years (700 ml),700 ml,,4671,4999,,0.96,0%,,4990,-7.45,0%,0%,,,,,,Yes,No,,Scotland,,,,,,,,Whisky,
1972,L,D 3000-4000,LWH,LWH0162BU,1,,IWS,S-SCMH-003700000,Ardbeg,Ardbeg  10 Years (700 ml),700 ml,,2292.6925,3059,,566.19,20%,,3050,557.77,20%,0%,,,,2,2,Yes,No,,Scotland,,,,,,,,Whisky,
1973,W,A 0-1000,WRS,WRS0075AC,0,,"EU Wine Co.,Ltd.",N/A,Laurent Miquel,Laurent Miquel  Cinsault Syrah,750 ml,Current vintage,490,699,,163.27,25%,,590,61.40,11%,16%,,,,,,Yes,No,Rose Wine,France,Languedoc,Blended,"Cinsault , Syrah",Light,High,Low,Vegetables|Dessert,,
1974,W,A 0-1000,WRS,WRS0079AC,1,,"EU Wine Co.,Ltd.",N/A,Zeni,Zeni  Bardolino Chiaretto Classico DOC,750 ml,Current vintage,600,899,,240.19,29%,,720,72.90,11%,20%,,,,1,12,Yes,No,Rose Wine,Italy,Veneto,Corvina,Corvina / Rondinella / Molinara,Light,Medium,Low,Chicken|Fish|Vegetables,,
