sku,item_name,websites,base_image_url,item_url
WRW0017AA,Yering  Pinot Noir Village,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0017aa_1.png,https://th.wine-now.com/yering-pinot-noir-village.html
WRW0018AA,Nino Negri  Mazer Valtellina Superiore,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/r/w/rw0018a_1.jpg,https://th.wine-now.com/nino-negri-mazer-valtellina-superiore.html
WRW0020AC,"Noble Vines ""337"" Lodi  Cabernet Sauvignon","Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0020ac_1.jpg,https://th.wine-now.com/337-lodi-cabernet-sauvignon.html
WRW0021AD,Chanson Pere & Fils  Bourgogne Pinot Noir,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0021D.jpg,https://th.wine-now.com/chanson-pere-fils-bourgogne-pinot-noir.html
WRW0022AC,Katnook  Founder's Block Cabernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0022ac_1.jpg,https://th.wine-now.com/katnook-founder-s-block-cabernet-sauvignon.html
WRW0024AA,Poggio Al Tesoro  Mediterra,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0024aa_5.jpg,https://th.wine-now.com/poggio-al-tesoro-mediterra.html
WRW0025AD,Castello Banfi  Chianti Classico DOCG,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/r/wrw0025ad_2.jpg,https://th.wine-now.com/castello-banfi-chianti-classico-docg.html
WRW0028AA,Provenza  Garda Classico Rosso Fabio Contato,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0028A.jpg,https://th.wine-now.com/provenza-garda-classico-rosso-fabio-contato.html
WRW0029AB,Penfolds  Koonunga Hill Shiraz,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0029B.jpg,https://th.wine-now.com/penfolds-koonunga-hill-shiraz-wrw0029ab.html
WRW0030AB,Penfolds  Koonunga Hill Cabernet Sauvignon,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/R/W/RW0030B.jpg,https://th.wine-now.com/penfolds-koonunga-hill-cabernet-sauvignon-wrw0030ab.html
