# best-seller ranking, 20 deep per segment. site|lens|segment|sku,sku,... in rank order
# ordering: popularity_qty_90d, popularity_orders_90d, popularity_score, score_max, margin_thb, price
# margin is a TIE-BREAKER ONLY and never renders. all/type is derived from wn/type + lq/type.
lq|country|Scotland|LWH0318CN,LWH0079BU,LWH0364CN,LWH0001AA,LWH0164BU,LGN0006AA,LWH0024AA,LWH0173AA,LWH1079CN,LWH0078BU,LWH0145BU,LWH1160AE,LWH0182AE,LWH0051BU,LWH0544AD,LWH0137AE,LWH0049BU,LWH0138AE,LWH0235BU,LWH0162BU
lq|country|Thailand|LOT0174GR,LGN0348GR,LGN0061CM,LRM0161ES,LGN0313GC,LWS0001HE,LVK0661GK,LRM0037DG,LRM0204AV,LVK0185DG,LRM0249GK,LRM0140ES,LRM0243GK,LBE0658CH,LRM0093AD,LGN0363GR,LGN0228DG,LRM0251GK,LVK0649GK,LWS0008HF
lq|country|USA|LRM0111BU,LWH0220BU,LWH0329AA,LLQ0304BU,LLQ0298BU,LWH0205AD,LWH0025AA,LWH0216BU,LWH0665BU,LGN0003AD,LWH0172AD,LVK0172CN,LWH0179BU,LVK0003AD,LLQ0079DR,LLQ0303BU,LWH0639BU,LTQ0001AD,LWH0034BU,LLQ0167AH
lq|type|agave|LTQ0034CN,LTQ0033CN,LTQ0062BU,LTQ0202AD,LTQ0241ER,LTQ0171CN,LTQ0066CN,LTQ0172CN,LTQ0001AD,LTQ0068CN,LTQ0067CN,LTQ0205CN,LTQ0035BU,LTQ0006BU,LTQ0209GH,LTQ0128CN,LTQ0133AD,LTQ0078BU,LTQ0137AA,LTQ0135AA
lq|type|brandy|LBD0113BU,LBD0007CN,LBD0050BU,LBD0006CN,LBD0005AA,LBD0136AA,LBD0063AE,LBD0011CN,LBD0200EQ,LBD0107EQ,LBD0088AH,LBD0087AH,LBD0227DG,LBD0166AA,LBD0235AA,LBD0261AE,LBD0199AD,LBD0043AF,LBD0110AE,LBD0184DD
lq|type|gin|LGN0077DR,LGN0015BU,LGN0081BU,LGN0348GR,LGN0063CN,LGN0016BU,LGN0061CM,LGN0214AA,LGN0017BU,LGN0194BU,LGN0106AA,LGN0006AA,LGN0360BU,LGN0003AD,LGN0313GC,LGN0026BU,LGN0176BU,LGN0147BU,LGN0069DG,LGN0083BU
lq|type|liqueur|LLQ0014CN,LLQ0062CN,LLQ0058CN,LLQ0304BU,LLQ0298BU,LLQ0085BU,LLQ0158CN,LLQ0334AD,LLQ0098AD,LLQ0108AD,LLQ0104AD,LLQ0059AD,LLQ0255CN,LLQ0319DR,LLQ0410BU,LLQ0099AD,LLQ0461AD,LLQ0088CN,LLQ0107AD,LLQ0105AD
lq|type|rum|LRM0116DR,LRM0111BU,LRM0035BU,LRM0266AB,LRM0143CP,LRM0186BU,LRM0053BU,LRM0161ES,LRM0190ER,LRM0037DG,LRM0207CP,LRM0126DG,LRM0204AV,LRM0249GK,LRM0140ES,LRM0206CP,LRM0243GK,LRM0093AD,LRM0251GK,LRM0196EQ
lq|type|sake|LSK0222DB,LSK0519AB,LSK0127AB,LSK0268DB,LSK0449AB,LSK0120AB,LSK0008AR,LSK0348AD,LSK0439FS,LSK0166AB,LSK0086AR,LSK0480AB,LSK0432FS,LSK0015AR,LSK0561AB,LSK0504AB,LSK0507AB,LSK0577AB,LSK0588AB,LSK0509AB
lq|type|vodka|LVK0181AE,LVK0071BU,LVK0172CN,LVK0003AD,LVK0661GK,LVK0185DG,LVK0194AA,LVK0048BU,LVK0206AH,LVK0649GK,LVK0069BU,LVK0124DR,LVK0108AA,LVK0639AB,LVK0209AH,LVK0183CN,LVK0208AH,LVK0060BU,LVK0180AE,LVK0214EQ
lq|type|whisky|LWH0318CN,LWH0220BU,LWH0079BU,LWH0329AA,LWH0364CN,LWH0325AA,LWH0076AA,LWH0251AA,LWH0001AA,LWH0205AD,LWH0164BU,LWH0025AA,LWH0563AD,LWH0216BU,LWH0024AA,LWH0173AA,LWH1079CN,LWH0078BU,LWH0145BU,LWH0665BU
wn|band|b1|WSP1233AD,WRW3122CH,WRW0255AA,WRW0203AH,WRW2369AD,WSP1140AE,WRW4577DD,WRW1040AD,WWW0092AH,WRW3305DD,WWW5371AB,WRW2358BN,WRW4679AD,WSP1131AA,WRW0282AD,WRW6554WN,WWW0100AH,WRW5598AA,WRW0202AH,WRW4289BU
wn|band|b2|WSP1096AD,WRW0211AH,WRW4683AD,WWW1197AD,WSP1104BU,WRW6217FS,WRW5858FX,WRW2359BN,WRW0066AC,WSP1229BS,WSP1089BS,WRW5869AD,WRW6363FC,WRW1647BN,WRW4680AD,WDW0032AB,WRW1621BS,WWW6233FJ,WRW0067AC,WRW2642BN
wn|band|b3|WRW5859FX,WSP1167AD,WRW2348BN,WSP5786BN,WRW4681AD,WRW2146AC,WRW3893AH,WSP1275BN,WRW2153AC,WRW5020AD,WRW1249AD,WRW6690GE,WWW5266BN,WRW6081BN,WRW5665DJ,WSP0005FO,WRW6137AC,WWW1374AC,WSP2646FT,WSP0062EG
wn|band|b4|WRW1570BN,WRW4874FS,WRW0415HI,WRW2385AD,WRW5351BN,WWW1433BN,WSP1187FC,WRW6318FC,WRW6614GX,WRW2973BN,WRW3294AE,WRW2459FS,WRW6347FC,WRW6072BN,WRW5520EG,WRW1845AE,WRW2455FS,WRW5807FU,WRW1855AE,WWW1438BN
wn|band|b5|WSP5782BN,WSP5780AD,WRW6222FS,WRW6219FS,WRW2301BN,WWW6007AA,WRW2974BN,WWW5091BN,WSP1115AD,WRW5102AC,WRW6601AF,WRW6625AF,WWW0409FC,WRW6545FS,WRW1413AF,WSP2619AD,WRW6644DJ,WRW6543FS,WRW6060BN,WRW6561HI
wn|country|Argentina|WRW4354CB,WRW0686AB,WRW0301AD,WRW6007FJ,WRW1624AD,WRW5019AD,WRW5020AD,WRW1249AD,WWW0180AD,WRW1198AF,WRW1199AF,WRW0300AD,WRW7037AD,WRW0338AD,WRW1248AD,WRW0312AD,WRW5046AB,WWW2239CB,WRW7754AD,WRW6346FC
wn|country|Australia|WSP1233AD,WRW3122CH,WRW0203AH,WRW2369AD,WRW4577DD,WRW1040AD,WWW0092AH,WRW2358BN,WRW4679AD,WRW0202AH,WRW4289BU,WWW2352DD,WWW4855AD,WRW3123CH,WRW4728DD,WRW4683AD,WRW4688AD,WRW4693AD,WRW1039AD,WRW0035AD
wn|country|Chile|WRW3305DD,WRW0282AD,WRW0240AA,WRW1644BN,WRW0288AD,WRW5962FS,WWW0153AD,WRW5860FJ,WWW0159AD,WRW4313AC,WRW2421BN,WRW1642BN,WRW0242AA,WRW4742AD,WRW5761AD,WWW5202AD,WWW5236FJ,WRW6044AH,WRW3218AC,WRW3471AH
wn|country|France|WRW0255AA,WRW6554WN,WSP1096AD,WRW5598AA,WRS0035AB,WSP5677DD,WSP1167AD,WSP5728FR,WSP1104BU,WSP5786BN,WRW6188WN,WRW6217FS,WRW6186WN,WRW0114AD,WRW1476AD,WWW4734AB,WRW5908FJ,WRS0047AB,WWW0120AA,WRW5530FJ
wn|country|Italy|WSP1140AE,WSP1131AA,WRW5406BN,WRW0574AA,WRW6610GW,WRW3191AD,WRW0002AD,WRW5836AA,WRW6847GW,WRW3413BS,WSP0009AA,WSP1085BS,WSP0042AD,WWW2270HI,WRW5689FR,WSP1138AE,WRW0462AD,WSP1132AA,WRW5350DD,WSP1229BS
wn|country|New Zealand|WWW2246BN,WWW2216BU,WWW1197AD,WWW1106AD,WWW2244BN,WWW2250BN,WWW2032AD,WWW5217AH,WWW0350AB,WWW1799BN,WRW1455AD,WWW2248BN,WWW5332FJ,WWW2412DD,WWW2046AB,WRW4305BU,WWW1696AD,WWW2417DD,WRW3023BN,WWW0012AD
wn|country|South Africa|WRW4700DD,WRW3031BN,WWW1096AD,WRW1050AD,WRW3029BN,WRW6795GW,WRW3118CH,WWW1666CH,WWW0379AD,WRW3032BN,WRW1049AD,WRW1063AB,WWW0504AF,WWW1341AC,WRW5440GC,WRW5774DD,WWW2406DD,WWW1095AD,WRW5442DW,WRW3030BN
wn|country|Spain|WRW0715AB,WSP0026AA,WRW1454AB,WRW5869AD,WSP5682DD,WSP2584FL,WRW4304BU,WSP1273AC,WSP0037AC,WSP2581FL,WRW4303BU,WRW6206GF,WSP0027AC,WRW6573GX,WRW4225AJ,WRW1562AD,WSP5679DD,WWW2335AD,WRW7529GX,WSP5681DD
wn|country|Thailand|WRW5859FX,WRW5858FX,WWW1701CH,WRW3178CH,WWW5233FX,WWW2206CH,WWW5231FX,WRS0217FX,WRW5855FX,WDW0059FX,WRW5856FX,WRS0100CH,WWW5232FX,WSP1541CH,WRW5857FX,WSP5657FX,WRW4287CH,WRW3179CH,WWW5235FX,WDW0102CH
wn|country|USA|WWW0100AH,WRW0211AH,WRW0216AH,WRW0213AH,WRW2348BN,WRW4696AD,WRW4559CB,WRW5853CB,WWW2349CB,WRW0066AC,WRW5100AH,WRW2146AC,WRW3893AH,WRW0214AH,WRW0067AC,WRW2153AC,WRW5891AH,WRW0215AH,WRW5773DD,WRW6104AH
wn|type|dessert|WDW0056BS,WDW0001AA,WDW0032AB,WDW0059FX,WDW0073AE,WDW0148DR,WDW0105AA,WDW0521AA,WDW0149DR,WDW0043AF,WDW0026AA,WDW0060AD,WDW0019AA,WDW0048AF,WDW0141AA,WDW0516AB,WDW0102CH,WDW0146BS,WDW0109AD,WDW0044AF
wn|type|red|WRW3122CH,WRW0255AA,WRW0203AH,WRW2369AD,WRW4577DD,WRW1040AD,WRW3305DD,WRW2358BN,WRW4679AD,WRW5859FX,WRW0282AD,WRW6554WN,WRW0211AH,WRW5598AA,WRW0202AH,WRW4289BU,WRW5406BN,WRW0216AH,WRW0213AH,WRW0240AA
wn|type|rose|WRS0035AB,WRS0237AH,WRS0047AB,WRS0217FX,WRS0079AC,WRS0109BN,WRS0104DD,WRS0225AB,WRS0284AC,WRS0246AD,WRS0100CH,WRS0165AD,WRS0056AC,WRS0220CH,WRS0057AD,WRS0186AD,WRS0211AB,WRS0199FJ,WRS0072AA,WRS0227AB
wn|type|sparkling|WSP1233AD,WSP1140AE,WSP1131AA,WSP1096AD,WSP5677DD,WSP1167AD,WSP5728FR,WSP1104BU,WSP5786BN,WSP0009AA,WSP1085BS,WSP0026AA,WSP0042AD,WSP2624FR,WSP1490BU,WSP1138AE,WSP1132AA,WSP1229BS,WSP2439BN,WSP1117AD
wn|type|white|WWW0092AH,WWW5371AB,WWW0100AH,WWW2246BN,WWW2216BU,WWW2352DD,WWW4855AD,WWW1197AD,WWW1106AD,WWW0153AD,WWW0159AD,WWW0080AH,WWW2244BN,WWW1701CH,WWW2250BN,WWW2032AD,WWW1345AC,WWW5217AH,WWW2349CB,WWW2202AD
all|type|agave|LTQ0034CN,LTQ0033CN,LTQ0062BU,LTQ0202AD,LTQ0241ER,LTQ0171CN,LTQ0066CN,LTQ0172CN,LTQ0001AD,LTQ0068CN,LTQ0067CN,LTQ0205CN,LTQ0035BU,LTQ0006BU,LTQ0209GH,LTQ0128CN,LTQ0133AD,LTQ0078BU,LTQ0137AA,LTQ0135AA
all|type|brandy|LBD0113BU,LBD0007CN,LBD0050BU,LBD0006CN,LBD0005AA,LBD0136AA,LBD0063AE,LBD0011CN,LBD0200EQ,LBD0107EQ,LBD0088AH,LBD0087AH,LBD0227DG,LBD0166AA,LBD0235AA,LBD0261AE,LBD0199AD,LBD0043AF,LBD0110AE,LBD0184DD
all|type|dessert|WDW0056BS,WDW0001AA,WDW0032AB,WDW0059FX,WDW0073AE,WDW0148DR,WDW0105AA,WDW0521AA,WDW0149DR,WDW0043AF,WDW0026AA,WDW0060AD,WDW0019AA,WDW0048AF,WDW0141AA,WDW0516AB,WDW0102CH,WDW0146BS,WDW0109AD,WDW0044AF
all|type|gin|LGN0077DR,LGN0015BU,LGN0081BU,LGN0348GR,LGN0063CN,LGN0016BU,LGN0061CM,LGN0214AA,LGN0017BU,LGN0194BU,LGN0106AA,LGN0006AA,LGN0360BU,LGN0003AD,LGN0313GC,LGN0026BU,LGN0176BU,LGN0147BU,LGN0069DG,LGN0083BU
all|type|liqueur|LLQ0014CN,LLQ0062CN,LLQ0058CN,LLQ0304BU,LLQ0298BU,LLQ0085BU,LLQ0158CN,LLQ0334AD,LLQ0098AD,LLQ0108AD,LLQ0104AD,LLQ0059AD,LLQ0255CN,LLQ0319DR,LLQ0410BU,LLQ0099AD,LLQ0461AD,LLQ0088CN,LLQ0107AD,LLQ0105AD
all|type|red|WRW3122CH,WRW0255AA,WRW0203AH,WRW2369AD,WRW4577DD,WRW1040AD,WRW3305DD,WRW2358BN,WRW4679AD,WRW5859FX,WRW0282AD,WRW6554WN,WRW0211AH,WRW5598AA,WRW0202AH,WRW4289BU,WRW5406BN,WRW0216AH,WRW0213AH,WRW0240AA
all|type|rose|WRS0035AB,WRS0237AH,WRS0047AB,WRS0217FX,WRS0079AC,WRS0109BN,WRS0104DD,WRS0225AB,WRS0284AC,WRS0246AD,WRS0100CH,WRS0165AD,WRS0056AC,WRS0220CH,WRS0057AD,WRS0186AD,WRS0211AB,WRS0199FJ,WRS0072AA,WRS0227AB
all|type|rum|LRM0116DR,LRM0111BU,LRM0035BU,LRM0266AB,LRM0143CP,LRM0186BU,LRM0053BU,LRM0161ES,LRM0190ER,LRM0037DG,LRM0207CP,LRM0126DG,LRM0204AV,LRM0249GK,LRM0140ES,LRM0206CP,LRM0243GK,LRM0093AD,LRM0251GK,LRM0196EQ
all|type|sake|LSK0222DB,LSK0519AB,LSK0127AB,LSK0268DB,LSK0449AB,LSK0120AB,LSK0008AR,LSK0348AD,LSK0439FS,LSK0166AB,LSK0086AR,LSK0480AB,LSK0432FS,LSK0015AR,LSK0561AB,LSK0504AB,LSK0507AB,LSK0577AB,LSK0588AB,LSK0509AB
all|type|sparkling|WSP1233AD,WSP1140AE,WSP1131AA,WSP1096AD,WSP5677DD,WSP1167AD,WSP5728FR,WSP1104BU,WSP5786BN,WSP0009AA,WSP1085BS,WSP0026AA,WSP0042AD,WSP2624FR,WSP1490BU,WSP1138AE,WSP1132AA,WSP1229BS,WSP2439BN,WSP1117AD
all|type|vodka|LVK0181AE,LVK0071BU,LVK0172CN,LVK0003AD,LVK0661GK,LVK0185DG,LVK0194AA,LVK0048BU,LVK0206AH,LVK0649GK,LVK0069BU,LVK0124DR,LVK0108AA,LVK0639AB,LVK0209AH,LVK0183CN,LVK0208AH,LVK0060BU,LVK0180AE,LVK0214EQ
all|type|whisky|LWH0318CN,LWH0220BU,LWH0079BU,LWH0329AA,LWH0364CN,LWH0325AA,LWH0076AA,LWH0251AA,LWH0001AA,LWH0205AD,LWH0164BU,LWH0025AA,LWH0563AD,LWH0216BU,LWH0024AA,LWH0173AA,LWH1079CN,LWH0078BU,LWH0145BU,LWH0665BU
all|type|white|WWW0092AH,WWW5371AB,WWW0100AH,WWW2246BN,WWW2216BU,WWW2352DD,WWW4855AD,WWW1197AD,WWW1106AD,WWW0153AD,WWW0159AD,WWW0080AH,WWW2244BN,WWW1701CH,WWW2250BN,WWW2032AD,WWW1345AC,WWW5217AH,WWW2349CB,WWW2202AD
