sku,item_name,websites,base_image_url,item_url
WRW5266DW-6,,Wine-Now,,https://th.wine-now.com/castelli-del-grevepesa-panzano-gran-selezione-chianti-classico-docg-gran-selezione-wooden-case-6-bottles-in-case.html
WRW5477DW-6,,Wine-Now,,https://th.wine-now.com/castelli-del-grevepesa-castello-di-bibbione-riserva-chianti-classico-docg-wooden-case.html
WRW6041HR,,Wine-Now,,https://th.wine-now.com/chateau-d-issan-blason-d-issan-margaux.html
WSP9035AB,,Wine-Now,,https://th.wine-now.com/pierre-chavin-le-petit-etoile-sparkling-chardonnay-non-alcoholic-wine.html
WSP9046WN,,Wine-Now,,https://th.wine-now.com/kuehn-cremant-d-alsace-blanc-de-blancs-brut.html
WWW5371AB,,Wine-Now,https://th.wine-now.com/media/catalog/product/w/w/www5371ab.jpg,https://th.wine-now.com/nollen-erben-mosel-riesling-spatlese.html
WWW5372AB,,Wine-Now,https://th.wine-now.com/media/catalog/product/w/w/www5372ab.jpg,https://th.wine-now.com/nollen-erben-mosel-dry-riesling.html
WWW6325WN,,Wine-Now,,https://th.wine-now.com/kuehn-riesling-alsace.html
WWW6326WN,,Wine-Now,,https://th.wine-now.com/kuehn-gewurztraminer-alsace.html
